segment_id,token,proposed_lemma
dbg_book01_ch021,uigilia,uigilia
dbg_book01_ch021,qui,qui
dbg_book01_ch021,uigilia,uigilia
dbg_book01_ch021,considius,considius
dbg_book01_ch021,qui,qui
dbg_book01_ch021,militaris,militaris
dbg_book01_ch022,summus,summus
dbg_book01_ch022,aduentus,aduentus
dbg_book01_ch022,considius,considius
dbg_book01_ch022,labienus,labienus
dbg_book01_ch022,praeceptum,praeceptum
dbg_book01_ch022,proelium,proelium
dbg_book01_ch022,impetus,impetus
dbg_book01_ch022,considium,considium
dbg_book01_ch023,frumentum,frumentum
dbg_book01_ch023,proelium,proelium
dbg_book01_ch024,qui,qui
dbg_book01_ch024,qui,qui
dbg_book01_ch025,proelium,proelium
dbg_book01_ch025,pilis,pilis
dbg_book01_ch025,ferrum,ferrum
dbg_book01_ch025,tandem,tandem
dbg_book01_ch025,qui,qui
dbg_book01_ch025,qui,qui
dbg_book01_ch025,rursus,rursus
dbg_book01_ch025,proelium,proelium
dbg_book01_ch025,acies,acies
dbg_book01_ch026,impetus,impetus
dbg_book01_ch026,hora,hora
dbg_book01_ch026,propterea,propterea
dbg_book01_ch026,tela,tela
dbg_book01_ch026,mataras,mataras
dbg_book01_ch026,unus,unus
dbg_book01_ch026,qui,qui
dbg_book01_ch027,inopia,inopia
dbg_book01_ch027,qui,qui
dbg_book01_ch027,arma,arma
dbg_book01_ch027,qui,qui
dbg_book01_ch027,qui,qui
dbg_book01_ch027,uerbigenus,uerbigenus
dbg_book01_ch028,oppida,oppida
dbg_book01_ch028,qui,qui
dbg_book01_ch029,qui,qui
dbg_book01_ch029,numerus,numerus
dbg_book01_ch029,qui,qui
dbg_book01_ch029,arma,arma
dbg_book01_ch029,item,item
dbg_book01_ch029,senes,senes
dbg_book01_ch029,xxxii,xxxii
dbg_book01_ch029,qui,qui
dbg_book01_ch029,arma,arma
dbg_book01_ch029,nonaginta,nonaginta
dbg_book01_ch029,qui,qui
dbg_book01_ch029,numerus,numerus
dbg_book01_ch030,propterea,propterea
dbg_book01_ch030,copia,copia
dbg_book01_ch030,concilium,concilium
dbg_book01_ch030,caesaris,caesaris
dbg_book01_ch030,quis,quis
dbg_book01_ch031,idem,idem
dbg_book01_ch031,qui,qui
dbg_book01_ch031,propterea,propterea
dbg_book01_ch031,diuiciacus,diuiciacus
dbg_book01_ch031,haeduus,haeduus
dbg_book01_ch031,iterum,iterum
dbg_book01_ch031,senatum,senatum
dbg_book01_ch031,qui,qui
dbg_book01_ch031,amicitia,amicitia
dbg_book01_ch031,sequanis,sequanis
dbg_book01_ch031,auxilium,auxilium
dbg_book01_ch031,qui,qui
dbg_book01_ch031,senatum,senatum
dbg_book01_ch031,auxilium,auxilium
dbg_book01_ch031,solus,solus
dbg_book01_ch031,propterea,propterea
dbg_book01_ch031,ariouistus,ariouistus
dbg_book01_ch031,qui,qui
dbg_book01_ch031,propterea,propterea
dbg_book01_ch031,locus,locus
dbg_book01_ch031,sedes,sedes
dbg_book01_ch031,uictus,uictus
dbg_book01_ch031,autem,autem
dbg_book01_ch031,proelium,proelium
dbg_book01_ch031,idem,idem
dbg_book01_ch031,sedes,sedes
dbg_book01_ch031,qui,qui
dbg_book01_ch031,supplicium,supplicium
dbg_book01_ch031,uictoria,uictoria
dbg_book01_ch032,qui,qui
dbg_book01_ch032,auxilium,auxilium
dbg_book01_ch032,causa,causa
dbg_book01_ch032,tristitia,tristitia
dbg_book01_ch032,idem,idem
dbg_book01_ch032,diuiacus,diuiacus
dbg_book01_ch032,haeduus,haeduus
dbg_book01_ch032,auxilium,auxilium
dbg_book01_ch032,cora,cora
dbg_book01_ch032,propterea,propterea
dbg_book01_ch032,facultas,facultas
dbg_book01_ch032,sequanis,sequanis
dbg_book01_ch032,qui,qui
dbg_book01_ch032,oppida,oppida
dbg_book01_ch032,cruciatus,cruciatus
dbg_book01_ch033,concilium,concilium
dbg_book01_ch033,secundum,secundum
dbg_book01_ch033,autem,autem
dbg_book01_ch033,prouincia,prouincia
dbg_book01_ch033,rhodanus,rhodanus
dbg_book01_ch033,autem,autem
dbg_book01_ch033,ariouistus,ariouistus
dbg_book01_ch033,spiritus,spiritus
dbg_book01_ch034,qui,qui
dbg_book01_ch034,ariouistus,ariouistus
dbg_book01_ch034,opus,opus
dbg_book01_ch034,autem,autem
