"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.2686429357546,1.18141397832927,1.08360227971612,1.14527331825782,0.907276234759416,1.03603811472969,0.812993348116488,1.16601143290556
"Caesar_DBG-01",1.2686429357546,0,1.30101935629907,1.36448301476337,1.25162862914405,1.28340688397696,1.3370007759589,1.2667404697627,1.32128018655903
"Caesar_DBG-02",1.18141397832927,1.30101935629907,0,1.13287503703481,1.15089771966792,1.06682151341482,1.26001541507977,1.05841331980891,1.31927509723071
"Caesar_DBG-03",1.08360227971612,1.36448301476337,1.13287503703481,0,1.10389946543072,1.0582975682372,1.15934350032049,1.00332688157572,1.26453915068649
"Caesar_DBG-04",1.14527331825782,1.25162862914405,1.15089771966792,1.10389946543072,0,1.15059727098165,1.23039854668809,1.14511454511418,1.37461470646147
"Caesar_DBG-05",0.907276234759416,1.28340688397696,1.06682151341482,1.0582975682372,1.15059727098165,0,1.07629480061197,0.788954535811081,1.08772384853876
"Caesar_DBG-06",1.03603811472969,1.3370007759589,1.26001541507977,1.15934350032049,1.23039854668809,1.07629480061197,0,1.03253170548683,1.31849320067534
"Caesar_DBG-07",0.812993348116488,1.2667404697627,1.05841331980891,1.00332688157572,1.14511454511418,0.788954535811081,1.03253170548683,0,1.02695816139001
"Hirtius_DBG-08",1.16601143290556,1.32128018655903,1.31927509723071,1.26453915068649,1.37461470646147,1.08772384853876,1.31849320067534,1.02695816139001,0
