"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.34922823244326,1.15196491251845,1.13930074909616,1.15346360300498,0.861681519254607,1.00282417321095,0.879449201907447,1.19241333595608
"Caesar_DBG-01",1.34922823244326,0,1.25721819605704,1.27565545785666,1.24766719489447,1.23471649477311,1.28371867974098,1.3273854960777,1.36797019703285
"Caesar_DBG-02",1.15196491251845,1.25721819605704,0,1.05077024025523,1.09207183880157,1.13230733022613,1.18014667933485,1.11436109212708,1.38722508584585
"Caesar_DBG-03",1.13930074909616,1.27565545785666,1.05077024025523,0,1.14387167263148,1.07758372549794,1.26097558604548,1.08190397723597,1.24006848675954
"Caesar_DBG-04",1.15346360300498,1.24766719489447,1.09207183880157,1.14387167263148,0,1.19252379447871,1.19114714033304,1.20438468805462,1.4043616118261
"Caesar_DBG-05",0.861681519254607,1.23471649477311,1.13230733022613,1.07758372549794,1.19252379447871,0,0.995090688983324,0.874969604358234,1.09337500308791
"Caesar_DBG-06",1.00282417321095,1.28371867974098,1.18014667933485,1.26097558604548,1.19114714033304,0.995090688983324,0,1.00597644360867,1.2738253239145
"Caesar_DBG-07",0.879449201907447,1.3273854960777,1.11436109212708,1.08190397723597,1.20438468805462,0.874969604358234,1.00597644360867,0,1.09712755166283
"Hirtius_DBG-08",1.19241333595608,1.36797019703285,1.38722508584585,1.24006848675954,1.4043616118261,1.09337500308791,1.2738253239145,1.09712755166283,0
