segment_id,author_group,work,book,total_ngrams,um ,us ,is , co, in,que, qu,nt ,ue ,et ,ent, pr,ere,bus,re ,em ,ibu,es ,con, re,tur,ter,am , ca,ant,per,qui, ad,era,it ,s c, ex,rum,s a,in , su,sse, et,se ,at ,os , se,ur ,s e,unt,ita,qua, po,rat,pro,itu,eri,tum,ae ,uit,e a, de,tis,ion,ati,e c,s p,nte,e i,s i,m c,tat, pe, no,cum,ius,equ,quo,ili,atu,ntu,str,e e, cu,ad ,uer, pa, di,iss,m a,m p,t a,one,eru,m e,aes, si,ium,t c,e p, ma,iti,ess,t e,tra,tio,ne ,m i,as ,t i,oru,ia ,ine,ons, mi,tem,s s,nti,io ,ost,ris,sti,ut ,ari,are, ut, ne,ran,squ,sar,int,eba, om, at,omn,t q,tes,tus,ui ,er ,cae,t p, es,ici, ui,ret,ta ,ren,cit,t s,ri ,mpe,ex , ho,eli,uis,m s,nis,ti ,tri,esa,tqu,ore,uen,te ,s d,ite,ssi,est,atq,end,men,e s,tit,iam, ue,pos, te,rae,lli,oni,s q,ate, ac,s r,bat, lo, au, eo,ra ,nes,to ,pra, le,ect,res,ini,cer,num,nit, ha,ori,t n,i c,leg,i p, ab,run,cas,ani,ort,lia,s u,par,rem,uod,mis,ner, op, mu,a c,s m,mil, fa,ell,sen,nib, ci,iqu,lit,od ,ide,t u,mni,e u,ert,ban,tia,nos,non, im,o c,ndi,ior,iis,ont,edi,loc,rib,man,ast,m d,der,m u,uae,a p, an, tr,nem,dit,imp,si ,s n,idi,etu,ab ,tin, na,rit,lum,i a,egi,com, hi,rio,min, it,m m,tib,tiu,rti,mag,rte,e d,set,dum, al,tim,gna,eni,tor,on ,mqu,ult,fac,gio,e n,m r, er,ctu,uam, eq,ume,m n,t h,fec,m q,dem,i e,dis,e o,all,rel,s l,fic,inc,aui,udi,ro ,mit,agn,omp, nu,s t,rci,ist,nsi,ste,uid,cti,i i,erc,a e, fi,s o, ce,t m,ten,de ,sis,ni ,imi,s f,por,hos,m f,tu ,ber,cis,uni,opi,ima,nst,ciu,die, du,ger,i s, ta,m l,o p,xer,mul,o a,sum,pri,tan, ar,itt,e m,s h,li ,na , iu,ali,st ,llo,niu,neq,ato,and,e r,sit,m t,oss,rim,eiu,fer,liq,ece,bi ,ar , ga,tud,lic,duc, be,lat,opp,a a,art,cta,act,uos, la,tar,cto,t d, a ,e q,iui,sid,reb,sim,ler,iae,eti,aba,m o,o e,r a, ei, mo, fu,liu,emp,ac ,d e,aci,uo ,nat,exe,sus,ene,ser,rtu,cen,sil,nia,a s,gal,din,edu,ndu,bel, ea,spe,his,inu,di ,ips,e h,ii ,ien,lo ,t t,err,uri,abe,uib,aut,e f,sta,uti,nci,mor,ime,ibi,adu,cul,nim,imu,eo ,hab,nau, ip,nsu,a m,e t,sub, un,omm,rma,isq,n p,gni,nta,cip,t r,cog,i u,aue,m h,aqu, ge,o d,im , sa,pid,r e,ria,ins,ers,i n,no 
dbg_book01,caesar,dbg,1,56411,0.0148375317,0.0079062594,0.0076935349,0.0063108259,0.0060449203,0.0047863005,0.0079594405,0.005903104,0.0045026679,0.0069489993,0.0049103898,0.0044849409,0.0056549255,0.00317314,0.0048749357,0.0049635709,0.0029249614,0.0033326833,0.0039176756,0.0037226782,0.0031376859,0.0042899435,0.004981298,0.0033858645,0.0026413288,0.003616316,0.003634043,0.0028008722,0.0027831451,0.00365177,0.0028717803,0.0023754232,0.0040063108,0.0025526936,0.0033504104,0.0037758593,0.0050876602,0.0037758593,0.0048394817,0.0025172395,0.0043253975,0.0042367623,0.0019499743,0.0026058747,0.0022158799,0.0023399692,0.0035454078,0.003155413,0.0025526936,0.0028895074,0.0019322473,0.0025349666,0.0025349666,0.0021095176,0.0021272447,0.0020740636,0.0022158799,0.0019677013,0.0015599794,0.0021981528,0.0023045151,0.0020386095,0.0025881477,0.0023931503,0.0017904309,0.0019499743,0.0019854284,0.0023399692,0.0030490507,0.0022336069,0.0021449717,0.0025526936,0.0030667778,0.0020386095,0.0024463314,0.0015777065,0.001825885,0.0021626988,0.0020563365,0.0019677013,0.0017904309,0.0017017957,0.0023045151,0.0029072344,0.0025881477,0.0023399692,0.0019677013,0.0012940739,0.0019145202,0.0026413288,0.0019322473,0.0024817855,0.0019854284,0.001825885,0.0021095176,0.0017372498,0.0014890713,0.0026767829,0.0023045151,0.0017549769,0.0015954335,0.0017549769,0.0023399692,0.0017727039,0.0021272447,0.0021095176,0.0019322473,0.0022158799,0.0014536172,0.0017904309,0.0017727039,0.0021804258,0.0013295279,0.0014004361,0.0019322473,0.0012231657,0.0016840687,0.0019854284,0.0020386095,0.0021626988,0.0020563365,0.0018967932,0.0014713442,0.0010281683,0.0017017957,0.0016663417,0.0011699846,0.001364982,0.000921806,0.001364982,0.0019854284,0.0011522575,0.0015599794,0.0019854284,0.0020740636,0.0016131606,0.0017549769,0.0026413288,0.0017727039,0.001364982,0.002251334,0.0014358902,0.001808158,0.0015422524,0.0016663417,0.0016308876,0.0009395331,0.0010813494,0.0015777065,0.001347255,0.0025526936,0.0019499743,0.0014181631,0.0016840687,0.0014181631,0.0015422524,0.000886352,0.0010813494,0.0010281683,0.0014713442,0.0010813494,0.0012940739,0.0014536172,0.0012940739,0.0008331708,0.001382709,0.0012408927,0.0017017957,0.0009927142,0.0018436121,0.0015245254,0.0014713442,0.0011168035,0.0009749871,0.0015954335,0.0008686249,0.0012408927,0.0012940739,0.0012586198,0.0012408927,0.0010636223,0.0008331708,0.0014004361,0.0019677013,0.000904079,0.0010636223,0.0009395331,0.000904079,0.0009927142,0.0006913545,0.0012054387,0.0011877116,0.0014713442,0.0014358902,0.0007977168,0.0020208825,0.0010458953,0.0013295279,0.0011877116,0.0011168035,0.0010458953,0.0010281683,0.0011522575,0.0009572601,0.0017017957,0.0007622627,0.0017017957,0.0012054387,0.0008154438,0.0012408927,0.0020740636,0.0009395331,0.0011345305,0.0006913545,0.0007090816,0.0009572601,0.0009572601,0.0009572601,0.001382709,0.0013118009,0.0015067983,0.0008331708,0.0010813494,0.0008154438,0.0005495382,0.0020208825,0.0009927142,0.0012231657,0.000904079,0.0010281683,0.0011522575,0.0006381734,0.0016308876,0.0012940739,0.0016663417,0.0010458953,0.0009572601,0.0010281683,0.0009572601,0.0009395331,0.0010990764,0.0006913545,0.0007268086,0.0007445356,0.001808158,0.0007799897,0.0009927142,0.0010458953,0.0012054387,0.0008686249,0.0007090816,0.000904079,0.0011699846,0.0009395331,0.000886352,0.0010104412,0.0012763468,0.0008154438,0.0008508979,0.0008154438,0.0007977168,0.0009395331,0.0003013597,0.000921806,0.0010813494,0.0012231657,0.0006027193,0.0009572601,0.0007799897,0.001382709,0.0011877116,0.0013118009,0.0011699846,0.000460903,0.0008331708,0.0007977168,0.0008154438,0.000904079,0.0011522575,0.0014536172,0.0010281683,0.0009572601,0.000904079,0.0007445356,0.0007268086,0.0006204464,0.0016131606,0.0007445356,0.000921806,0.0012586198,0.000443176,0.0010281683,0.0010990764,0.0006381734,0.000921806,0.0014358902,0.0006559004,0.000921806,0.0010636223,0.0010458953,0.0007090816,0.0011522575,0.0008331708,0.0011699846,0.0005672652,0.0007977168,0.0015954335,0.0005140841,0.0006913545,0.0005672652,0.0009572601,0.0005849923,0.0007268086,0.0006027193,0.0005495382,0.0006559004,0.0002659056,0.0007799897,0.0006913545,0.0007622627,0.0012763468,0.0006559004,0.0006736275,0.0007622627,0.0005318112,0.000921806,0.0007268086,0.0008154438,0.0011345305,0.0006559004,0.0004077219,0.0008154438,0.0010104412,0.0008508979,0.0005672652,0.0013118009,0.000460903,0.0010813494,0.0004786301,0.0008154438,0.0010281683,0.0006913545,0.0009395331,0.0007090816,0.0003013597,0.0006559004,0.0006736275,0.0004786301,0.0007445356,0.0008686249,0.0008508979,0.000921806,0.000904079,0.0006559004,0.0005849923,0.0007977168,0.0007622627,0.0006381734,0.0006204464,0.0007799897,0.0007268086,0.000443176,0.001347255,0.0004963571,0.0005140841,0.000904079,0.0008686249,0.0005318112,0.0010104412,0.0005140841,0.0008508979,0.0007622627,0.0006559004,0.000886352,0.0007268086,0.0005495382,0.0006736275,0.0006559004,0.0007090816,0.000904079,0.0006381734,0.0006381734,0.0006027193,0.0005495382,0.0006381734,0.0010813494,0.0007799897,0.001382709,0.0005140841,0.0006204464,0.0006381734,0.0008154438,0.0006913545,0.0003545408,0.0005849923,0.0005140841,0.0004963571,0.0006559004,0.0007977168,0.0005849923,0.0006027193,0.0004254489,0.000904079,0.0010636223,0.0010990764,0.0009395331,0.0005495382,0.0003190867,0.0007799897,0.0004963571,0.0008154438,0.0017904309,0.0005140841,0.0007268086,0.0005318112,0.000443176,0.0007799897,0.0007445356,0.0006381734,0.0008331708,0.0004077219,0.0006204464,0.000904079,0.0008686249,0.0007445356,0.0005318112,0.0006559004,0.0003899949,0.0005672652,0.000443176,0.0005495382,0.0004077219,0.0002659056,0.0002481785,0.000904079,0.001364982,0.000460903,0.0010458953,0.0006559004,0.0006913545,0.0010104412,0.0005318112,0.0005495382,0.0007090816,0.0003722678,0.0008686249,0.0007268086,0.0007799897,0.0005318112,0.0006736275,0.0004254489,0.0005849923,0.0007445356,0.0007090816,0.0003368137,0.0007799897,0.0008154438,0.0003899949,0.0007622627,0.0007977168,0.0005140841,0.0005318112,0.0009395331,0.0004963571,0.0004963571,0.000460903,0.0007799897,0.0008331708,0.0007977168,0.0001063622,0.0008508979,0.0004963571,0.0004786301,0.0006204464,0.000460903,0.0005140841,0.0006559004,0.0006559004,0.0003545408,0.0006559004,0.0003899949,0.0006204464,0.0003545408,0.0006913545,0.0003190867,0.0006736275,0.0001949974,0.000886352,0.0003190867,0.0006913545,0.0005672652,0.0003722678,0.0004963571,0.0004077219,0.0005495382,0.0007268086,0.0003899949,0.0003899949,0.0007090816,0.0008154438
dbg_book02,caesar,dbg,2,29381,0.0132058133,0.0074197611,0.0104489296,0.0068751915,0.0077601171,0.0066029066,0.0066369422,0.0081345087,0.006228515,0.0044586638,0.0055818386,0.0042884858,0.0049351622,0.0039481297,0.0045948062,0.0036077737,0.0035397025,0.0050713046,0.0041523434,0.0040162009,0.0029951329,0.0039821653,0.0033014533,0.0035737381,0.0044246282,0.0033354889,0.0036758449,0.0035056669,0.0035397025,0.0025867057,0.0031993465,0.0032674177,0.0033354889,0.0033354889,0.0040502365,0.0033354889,0.0035397025,0.0033695245,0.0032333821,0.0018719581,0.0045607706,0.0023824921,0.0017358157,0.0030632041,0.0025867057,0.0027568837,0.0025867057,0.0031653109,0.0020081005,0.0026547769,0.0027909193,0.0031312753,0.0021102073,0.0022123141,0.0021442429,0.0021442429,0.0028249549,0.0027568837,0.0020421361,0.0023824921,0.0025867057,0.0021442429,0.0023824921,0.0028589905,0.0025186345,0.0020761717,0.0024505633,0.0017698513,0.0031993465,0.0029270617,0.0013954597,0.0020421361,0.0021782785,0.0022803853,0.0024845989,0.0019059937,0.0033695245,0.0020421361,0.0021782785,0.0025186345,0.0019400293,0.0024505633,0.0016677445,0.0022123141,0.0020081005,0.0020421361,0.0019740649,0.0018038869,0.0030291685,0.0017698513,0.0017698513,0.0020421361,0.0017358157,0.0022123141,0.0019059937,0.0015316021,0.0015996733,0.0021782785,0.0018719581,0.0024845989,0.0010551036,0.0018379225,0.0019740649,0.0021102073,0.0020761717,0.0018719581,0.0019400293,0.0028930261,0.0018379225,0.0020421361,0.0017017801,0.0016337089,0.0014294953,0.0013273884,0.0032333821,0.0019400293,0.0016337089,0.0014975665,0.0011572104,0.0019059937,0.0018379225,0.0017698513,0.0023484565,0.0023144209,0.0014975665,0.0019059937,0.0016337089,0.0017017801,0.0015656377,0.0016677445,0.0016337089,0.0019059937,0.0014975665,0.0022123141,0.0016337089,0.0013954597,0.0017698513,0.0018719581,0.0009189612,0.0021102073,0.0010551036,0.0019740649,0.0027228481,0.0012593172,0.001191246,0.0019059937,0.0015656377,0.0015316021,0.0018719581,0.0013273884,0.0015996733,0.001191246,0.0011231748,0.0015656377,0.0017698513,0.0012933528,0.001191246,0.0011572104,0.0014635309,0.0016677445,0.0013273884,0.0017358157,0.0017017801,0.001361424,0.0011572104,0.0011572104,0.0012933528,0.0014635309,0.0017017801,0.0011572104,0.0010891392,0.0013954597,0.0011572104,0.0009189612,0.0016337089,0.00085089,0.0017358157,0.0015656377,0.0016677445,0.0013273884,0.0012252816,0.0013954597,0.0009189612,0.0018038869,0.0014635309,0.0018719581,0.001191246,0.0009189612,0.0016337089,0.001021068,0.0012933528,0.0015996733,0.0014294953,0.0015656377,0.0012593172,0.0010551036,0.001021068,0.0012933528,0.001361424,0.0015656377,0.0014294953,0.0019400293,0.0017698513,0.0015316021,0.0007147476,0.0011231748,0.0014294953,0.0019059937,0.001191246,0.0012593172,0.0011572104,0.0015656377,0.0014635309,0.0018379225,0.0014635309,0.0010891392,0.0011572104,0.0013954597,0.0010891392,0.0011231748,0.0013273884,0.0011231748,0.001191246,0.0011231748,0.0010551036,0.0011231748,0.001361424,0.0011231748,0.0011572104,0.0008849256,0.0010551036,0.001021068,0.0009529968,0.0018719581,0.0010551036,0.0016337089,0.0009870324,0.0011572104,0.0007828188,0.0013954597,0.0009870324,0.0015656377,0.001361424,0.0008849256,0.0011572104,0.0014294953,0.0009529968,0.0014635309,0.0007828188,0.0012593172,0.0009870324,0.0006126408,0.0009870324,0.001021068,0.001191246,0.0016337089,0.0009870324,0.0012933528,0.001191246,0.0007828188,0.0016337089,0.00085089,0.0005445696,0.0009529968,0.0013273884,0.0012252816,0.0011231748,0.0005786052,0.0010551036,0.0007487832,0.0012933528,0.0008849256,0.0011231748,0.0007828188,0.001191246,0.0011572104,0.0008849256,0.0008849256,0.0009870324,0.0007828188,0.0009189612,0.0008168544,0.0008168544,0.0012933528,0.0009189612,0.000680712,0.0009870324,0.0007147476,0.0007147476,0.0010891392,0.001021068,0.0009189612,0.0009189612,0.0008849256,0.0005445696,0.0007147476,0.0006466764,0.0008849256,0.0008168544,0.0011231748,0.0007487832,0.0011231748,0.0007147476,0.0011231748,0.0006466764,0.0008849256,0.0008849256,0.0007828188,0.0004764984,0.0004424628,0.0005786052,0.0003063204,0.0012593172,0.0007828188,0.000680712,0.0007828188,0.0001361424,0.0009529968,0.0007487832,0.00085089,0.0006466764,0.00085089,0.0013273884,0.0009870324,0.0005786052,0.0009189612,0.0007487832,0.0006466764,0.0011572104,0.0008849256,0.0008849256,0.0004084272,0.0009189612,0.0006126408,0.0008849256,0.0005445696,0.0008849256,0.0011572104,0.0008168544,0.001361424,0.0009529968,0.000680712,0.0004764984,0.000680712,0.0004764984,0.00085089,0.0005786052,0.00085089,0.0006126408,0.000510534,0.0006466764,0.0007487832,0.0009529968,0.0007828188,0.0008168544,0.000510534,0.001021068,0.0007487832,0.0007147476,0.0004424628,0.0008849256,0.0008849256,0.00085089,0.0007828188,0.0005786052,0.00085089,0.000510534,0.000680712,0.0004424628,0.0006466764,0.00085089,0.0006126408,0.000510534,0.0007828188,0.00085089,0.0009529968,0.0007828188,0.0007487832,0.0006126408,0.0009189612,0.0008849256,0.0002382492,0.0008849256,0.0006126408,0.0005445696,0.0009529968,0.0008849256,0.0007828188,0.0012593172,0.000340356,0.0006126408,0.001191246,0.0008849256,0.0011572104,0.0008168544,0.0008849256,0.0006466764,0.0008849256,0.00085089,0.0007147476,0.0007828188,0.0007487832,0.000510534,0.0006126408,0.0007487832,0.00085089,0.0007487832,0.0007487832,0.0007147476,0.0007487832,0.0002382492,0.0004764984,0.000510534,0.0006126408,0.0006126408,0.0005445696,0.0002722848,0.0005445696,0.0008168544,0.000510534,0.0005445696,0.0009189612,0.00085089,0.0008849256,0.0004084272,0.0007147476,0.0007147476,0.0006126408,0.000510534,0.0007487832,0.000680712,0.000340356,0.0004084272,0.0004084272,0.0007487832,0.0007828188,0.0012252816,0.0007828188,0.0006126408,0.001191246,0.0005445696,0.000680712,0.0008168544,0.000680712,0.0007828188,0.0005786052,0.0005445696,0.0009529968,0.0002042136,0.0006126408,0.0005445696,0.000510534,0.0005445696,0.0005445696,0.0002382492,0.0002382492,0.0007147476,0.0005786052,0.0009870324,0.0003743916,0.0007487832,0.0007147476,0.000680712,0.0004424628,0.0003743916,0.0003743916,0.0006126408,0.000510534,0.0002722848,6.80712e-05,0.000510534,0.0003743916,0.0007828188,0.0005445696,0.000680712,0.0008849256,0.0004424628,0.0004764984,0.0009870324,0.0005445696,0.0005445696,0.0009189612,0.0003743916,0.0004084272,0.0003063204,0.000510534,0.000340356,0.0004084272,0.000340356,0.0003743916,0.0002722848,0.0006126408,0.0004424628,0.0010551036,0.0004084272,0.0004764984,0.000510534,0.0008168544,0.0005786052,0.000510534
dbg_book03,caesar,dbg,3,25702,0.0126449304,0.0102715742,0.010660649,0.0084040153,0.0064975488,0.0067309937,0.006186289,0.0076258657,0.0064586414,0.00447436,0.0055637694,0.0040852852,0.0048634348,0.0053303245,0.0043187301,0.0037351179,0.0049412497,0.0050190647,0.0049412497,0.0041631001,0.0028402459,0.0038907478,0.0036573029,0.0029958758,0.0040463777,0.0038907478,0.0031125982,0.0033071356,0.0028791534,0.0022955412,0.0039685628,0.0035405805,0.0034627655,0.0038907478,0.0036183955,0.0029958758,0.0028402459,0.0032293207,0.0022955412,0.0024900786,0.0027624309,0.0022955412,0.0019842814,0.0029958758,0.0028013384,0.0030736908,0.0020231889,0.0020231889,0.0019064664,0.002606801,0.0022566337,0.0024511711,0.0022955412,0.0032293207,0.0021788188,0.0024511711,0.0022955412,0.0031904132,0.0024900786,0.0031515057,0.0028013384,0.0022566337,0.0026457085,0.0019064664,0.0029180609,0.0022955412,0.0027624309,0.0021399113,0.0026457085,0.0022566337,0.0020620963,0.0019453739,0.0027624309,0.0022955412,0.0020620963,0.0019842814,0.0027235235,0.0024511711,0.0023733562,0.0019842814,0.0012839468,0.0018675589,0.0016341141,0.0018675589,0.0016730216,0.0021010038,0.0020620963,0.0021010038,0.0024900786,0.0021010038,0.0013228543,0.001711929,0.0019453739,0.0018286515,0.0016730216,0.0020620963,0.0015562991,0.0014395767,0.0018286515,0.001711929,0.0020231889,0.001789744,0.0013617617,0.0020231889,0.0017508365,0.0020620963,0.0013228543,0.0020620963,0.001789744,0.0015952066,0.0020231889,0.0019842814,0.0017508365,0.0014006692,0.002684616,0.0015562991,0.0017508365,0.0012839468,0.0014395767,0.0015173916,0.0013617617,0.0015952066,0.0012839468,0.0019453739,0.000894872,0.0015952066,0.0018675589,0.001789744,0.0012061318,0.001789744,0.0018286515,0.0019064664,0.0014395767,0.0011672243,0.0019064664,0.000894872,0.0013228543,0.0015562991,0.0012839468,0.0019064664,0.0013228543,0.0018286515,0.0019842814,0.0012450393,0.0012450393,0.0019453739,0.0012839468,0.0014395767,0.0018286515,0.0018286515,0.0009337795,0.0012839468,0.0014784842,0.0013228543,0.0013228543,0.0007781496,0.0011672243,0.0011672243,0.0018675589,0.0012061318,0.0012450393,0.0014784842,0.0010894094,0.001711929,0.0011283169,0.001789744,0.0012839468,0.0014395767,0.0012839468,0.0014395767,0.001789744,0.0012061318,0.0016730216,0.0011283169,0.0015173916,0.0010505019,0.0014006692,0.0017508365,0.0022177262,0.0011283169,0.0012061318,0.0014784842,0.0013617617,0.0010894094,0.0012839468,0.0012061318,0.0013617617,0.0008559645,0.0010894094,0.0015562991,0.0010505019,0.0011672243,0.0010505019,0.0010505019,0.0012839468,0.000894872,0.0011672243,0.0010894094,0.0013228543,0.0010894094,0.0013617617,0.0010505019,0.0014006692,0.0012450393,0.0009337795,0.001789744,0.0007781496,0.0014395767,0.0010894094,0.0008559645,0.0014395767,0.000972687,0.0011283169,0.0012839468,0.0010894094,0.0015952066,0.0009337795,0.0007781496,0.0014784842,0.0015952066,0.0012450393,0.0010115944,0.0007781496,0.0014395767,0.0007781496,0.0014395767,0.0012839468,0.0011672243,0.0013228543,0.0009337795,0.0010505019,0.0015952066,0.0010894094,0.0015952066,0.000894872,0.0010505019,0.000817057,0.0015562991,0.0011283169,0.0014784842,0.0010505019,0.0011283169,0.0013228543,0.0011283169,0.0009337795,0.0010894094,0.0007781496,0.0012061318,0.0010505019,0.0007392421,0.0008559645,0.0007003346,0.0005836122,0.0010115944,0.0009337795,0.000972687,0.0008559645,0.0014395767,0.0008559645,0.0010115944,0.0007781496,0.000972687,0.0022177262,0.000894872,0.0012061318,0.0011283169,0.0007003346,0.0014395767,0.0014395767,0.000894872,0.000972687,0.000972687,0.0007003346,0.0012450393,0.0012061318,0.0012839468,0.0010115944,0.0008559645,0.0005836122,0.0007781496,0.0007392421,0.0012061318,0.0012450393,0.0012839468,0.0007392421,0.000817057,0.000894872,0.0007003346,0.000972687,0.0014006692,0.0007003346,0.0011672243,0.000972687,0.0012061318,0.0007003346,0.0006614271,0.0004668897,0.000894872,0.0012839468,0.0009337795,0.0008559645,0.0007003346,0.0007392421,0.0010505019,0.000817057,0.000972687,0.0012450393,0.0010894094,0.0009337795,0.0006614271,0.0005836122,0.0012450393,0.0007392421,0.000817057,0.0006614271,0.0009337795,0.0007392421,0.0006614271,0.0008559645,0.0007003346,0.0007392421,0.000972687,0.000972687,0.0007781496,0.000972687,0.0006614271,0.0007392421,0.000817057,0.0007003346,0.000894872,0.0008559645,0.0006614271,0.0014395767,0.000817057,0.0010505019,0.0007781496,0.0006614271,0.0012450393,0.0010505019,0.0010894094,0.000894872,0.0007003346,0.0005836122,0.000972687,0.0008559645,0.0009337795,0.0012839468,0.0007392421,0.0005836122,0.0004668897,0.0005057972,0.0008559645,0.000817057,0.0008559645,0.000817057,0.0007003346,0.0005836122,0.0006225196,0.0005057972,0.0008559645,0.0006614271,0.0010894094,0.0007781496,0.0005447047,0.0007392421,0.0007003346,0.0007781496,0.0007003346,0.0003890748,0.0007781496,0.000817057,0.0005057972,0.0005447047,0.000972687,0.000817057,0.0008559645,0.0007781496,0.0005836122,0.0007003346,0.000972687,0.0007781496,0.0003890748,0.000817057,0.000972687,0.0003501673,0.000894872,0.0004279823,0.0010894094,0.0007781496,0.0005447047,0.0006614271,0.0010115944,0.0005057972,0.0006225196,0.0007392421,0.0006614271,0.0013228543,0.0008559645,0.0007781496,0.0006614271,0.0007003346,0.0008559645,0.0004668897,0.0005057972,0.0008559645,0.0005447047,0.0006225196,0.0006225196,0.0004668897,0.0007781496,0.0005447047,0.0006614271,0.000894872,0.0006225196,0.0003501673,0.0007392421,0.0004279823,0.000817057,0.0006225196,0.0007392421,0.0007392421,0.0013617617,0.0006225196,0.0006225196,0.0005447047,0.0009337795,0.0005447047,0.0008559645,0.0010894094,0.0005057972,0.0007003346,0.0004668897,0.0008559645,0.0005447047,0.0005057972,0.0010115944,0.0005836122,0.0003112598,0.0004279823,0.0010505019,0.0009337795,0.0006614271,0.000894872,0.0007392421,0.000894872,0.0003501673,0.0005057972,0.000894872,0.0004668897,0.0003112598,0.0007781496,0.0004279823,0.000817057,0.0005057972,0.000894872,0.0004668897,0.0006614271,0.000817057,0.0007781496,0.0004279823,0.0005836122,0.0004279823,0.0005447047,0.0003501673,0.0005836122,0.0004279823,0.0006614271,0.0006225196,0.0004279823,0.0014395767,0.0003501673,0.0002723523,0.0007781496,0.0004668897,0.0006225196,0.0006614271,0.0007392421,0.0005447047,0.0005447047,0.0004279823,0.0004668897,0.0004668897,0.0004279823,0.0006225196,0.0003501673,0.0007003346,0.0006225196,0.0007392421,0.000894872,0.0005447047,0.0005836122,0.0005836122,0.0011283169,0.0005836122,0.0005447047,0.0004668897,0.0005836122,0.0003890748,0.0006225196,0.0006614271
