segment_id,author_group,work,book,total_tokens,a,ab,abs,ac,ad,adeo,adhuc,aduersus,aliqua,aliqui,aliquid,aliquis,aliquod,an,ante,antea,apud,at,atque,aut,autem,bene,certe,circa,circum,cis,citra,clam,contra,coram,cui,cuius,cum,de,denique,dum,e,ea,eadem,eae,eam,earum,eas,ego,ei,eis,eius,enim,eo,eorum,eos,erant,erat,erga,ergo,esse,essent,esset,est,estis,et,etiam,etsi,eum,ex,extra,fere,fert,ferunt,fit,fiunt,fore,fortasse,forte,frustra,fuerant,fuerat,fuerint,fuerit,fuerunt,fuisse,fuistis,fuit,futurus,hae,haec,hanc,harum,has,haud,hi,hic,hinc,his,hoc,horum,hos,huc,huic,huius,hunc,iam,ibi,id,idem,ideo,igitur,iis,illa,illae,illam,illas,ille,illi,illic,illis,illius,illorum,illos,illud,illum,in,inde,infra,inter,interim,intra,ipsa,ipsae,ipsarum,ipse,ipsi,ipsis,ipsius,ipsorum,ipsos,ipsum,is,ita,itaque,iuxta,licet,magis,male,malo,me,mei,mihi,nam,ne,nec,neque,nimis,nisi,nobis,non,nos,nosmet,num,nunc,nuper,nusquam,ob,paene,parum,penes,per,posse,possent,posset,possint,possit,possum,possunt,post,postea,postquam,poterant,poterat,poterit,potest,potestis,potius,potuerunt,potuisse,potuit,prae,praeter,praeterea,priusquam,pro,procul,prope,propter,qua,quae,quaecumque,quaedam,quaeque,quam,quamquam,quamuis,quare,quarum,quas,quasi,que,quem,qui,quia,quibus,quicquam,quicumque,quid,quidam,quidem,quin,quis,quisquam,quisque,quo,quod,quoddam,quodque,quominus,quondam,quoniam,quoque,quorum,quos,saepe,satis,se,secum,secundum,sed,semper,sese,seu,si,sibi,sic,simul,simus,sin,sine,sint,sit,siue,sponte,statim,sub,subito,sui,sum,sumus,sunt,super,supra,tam,tamen,tametsi,tamquam,te,trans,tum,tunc,ubi,ubicumque,uel,uelint,uelis,uelit,uellent,uellet,uero,uersus,uerum,uestri,uestrum,uis,uix,ultra,ultro,unde,unusquisque,uobis,uolumus,uolunt,uos,usque,ut,uter,uterque,utra,utraque,utrum,utrumque,uultis
dbg_book01,caesar,dbg,1,9407,0.0062719252,0.0047836717,0.0,0.0029765069,0.0117997236,0.0,0.0,0.0,0.0,0.0,0.0001063038,0.0,0.0,0.0003189114,0.001169342,0.0003189114,0.0013819496,0.0002126076,0.0049962794,0.0038269374,0.0008504305,0.0,0.0,0.0,0.0002126076,0.0,0.0001063038,0.0,0.0003189114,0.0,0.0003189114,0.0004252153,0.0093547358,0.0039332412,0.0002126076,0.0005315191,0.0005315191,0.0029765069,0.0003189114,0.0,0.0015945572,0.0001063038,0.0008504305,0.0,0.0009567343,0.0,0.0036143298,0.0003189114,0.0049962794,0.0024449878,0.0027638992,0.0010630382,0.002338684,0.0,0.0,0.0076538748,0.0012756458,0.0022323801,0.0046773679,0.0,0.0207292442,0.0018071649,0.0001063038,0.0030828107,0.0061656213,0.0001063038,0.0003189114,0.0,0.0,0.0,0.0,0.0004252153,0.0,0.0,0.0,0.0001063038,0.0002126076,0.0,0.0001063038,0.0002126076,0.0002126076,0.0,0.0003189114,0.0,0.0,0.0008504305,0.0005315191,0.0002126076,0.0001063038,0.0,0.0005315191,0.0004252153,0.0,0.0031891145,0.0009567343,0.0004252153,0.0005315191,0.0001063038,0.0001063038,0.0001063038,0.0002126076,0.0006378229,0.0007441267,0.002870203,0.0005315191,0.0,0.0,0.0015945572,0.0002126076,0.0,0.0001063038,0.0,0.0002126076,0.0002126076,0.0001063038,0.0003189114,0.0,0.0002126076,0.0,0.0,0.0005315191,0.0192409908,0.0002126076,0.0,0.0018071649,0.0003189114,0.0001063038,0.0001063038,0.0,0.0,0.0019134687,0.0007441267,0.0006378229,0.0004252153,0.0002126076,0.0005315191,0.0004252153,0.0007441267,0.0018071649,0.0006378229,0.0,0.0,0.0004252153,0.0001063038,0.0,0.0,0.0,0.0,0.0006378229,0.0032954183,0.0002126076,0.0053151908,0.0,0.0005315191,0.0001063038,0.0096736473,0.0001063038,0.0,0.0001063038,0.0002126076,0.0003189114,0.0,0.0007441267,0.0003189114,0.0,0.0,0.0035080259,0.0015945572,0.0012756458,0.0013819496,0.0002126076,0.0004252153,0.0,0.0,0.0002126076,0.0006378229,0.0002126076,0.0003189114,0.0002126076,0.0,0.0002126076,0.0,0.0001063038,0.0,0.0002126076,0.0002126076,0.0,0.0004252153,0.0002126076,0.0,0.0015945572,0.0,0.0001063038,0.0012756458,0.0015945572,0.0030828107,0.0002126076,0.0,0.0001063038,0.0054214946,0.0,0.0,0.0005315191,0.0002126076,0.0008504305,0.0,0.0,0.0008504305,0.0073349633,0.0,0.0013819496,0.0002126076,0.0001063038,0.0015945572,0.0001063038,0.0008504305,0.0007441267,0.0002126076,0.0001063038,0.0002126076,0.0019134687,0.0121186351,0.0,0.0002126076,0.0,0.0,0.0004252153,0.0001063038,0.0007441267,0.0013819496,0.0005315191,0.0010630382,0.0097799511,0.0005315191,0.0001063038,0.0021260763,0.0001063038,0.0027638992,0.0001063038,0.005208887,0.0042521527,0.0002126076,0.0001063038,0.0,0.0001063038,0.0012756458,0.0005315191,0.0007441267,0.0005315191,0.0002126076,0.0001063038,0.0007441267,0.0002126076,0.0005315191,0.0,0.0,0.0010630382,0.0,0.0001063038,0.0007441267,0.0009567343,0.0001063038,0.0,0.0,0.0007441267,0.0005315191,0.0,0.0012756458,0.0,0.0007441267,0.0003189114,0.0,0.0002126076,0.0005315191,0.0006378229,0.0003189114,0.0,0.0,0.0,0.0,0.0,0.0001063038,0.0002126076,0.0002126076,0.0002126076,0.0,0.0,0.0,0.0,0.0,0.0002126076,0.0078664824,0.0,0.0001063038,0.0,0.0002126076,0.0003189114,0.0,0.0
dbg_book02,caesar,dbg,2,4747,0.0037918685,0.0101116495,0.0,0.0048451654,0.0155887929,0.0,0.0,0.0004213187,0.0,0.0,0.0,0.0,0.0,0.0,0.0012639562,0.0,0.0008426375,0.0004213187,0.0071624184,0.0010532968,0.0004213187,0.0,0.0,0.0,0.0,0.0002106594,0.0002106594,0.0,0.0010532968,0.0,0.0002106594,0.0002106594,0.0122182431,0.0029492311,0.0002106594,0.0,0.0,0.0010532968,0.0006319781,0.0,0.0004213187,0.0002106594,0.0006319781,0.0,0.0004213187,0.0,0.0012639562,0.0002106594,0.0029492311,0.0044238466,0.0031598905,0.0031598905,0.0021065936,0.0,0.0,0.0058984622,0.0002106594,0.0010532968,0.0042131873,0.0,0.018538024,0.002317253,0.0,0.0021065936,0.009269012,0.0,0.0006319781,0.0,0.0,0.0,0.0,0.0,0.0,0.0002106594,0.0,0.0004213187,0.0,0.0,0.0,0.0,0.0004213187,0.0,0.0004213187,0.0,0.0002106594,0.0010532968,0.0004213187,0.0002106594,0.0002106594,0.0,0.0008426375,0.0,0.0,0.0050558247,0.0006319781,0.0002106594,0.0002106594,0.0,0.0002106594,0.0002106594,0.0006319781,0.0010532968,0.0012639562,0.0014746155,0.0,0.0,0.0,0.0027385717,0.0,0.0,0.0,0.0,0.0,0.0006319781,0.0,0.0002106594,0.0,0.0,0.0,0.0,0.0,0.0246471456,0.0002106594,0.0,0.002317253,0.0008426375,0.0006319781,0.0,0.0,0.0,0.0008426375,0.0010532968,0.0004213187,0.0002106594,0.0,0.0006319781,0.0,0.0002106594,0.0008426375,0.0004213187,0.0002106594,0.0,0.0004213187,0.0,0.0,0.0,0.0,0.0,0.0012639562,0.0021065936,0.0,0.004634506,0.0,0.0006319781,0.0002106594,0.0061091216,0.0,0.0,0.0,0.0002106594,0.0,0.0,0.0002106594,0.0004213187,0.0,0.0,0.0012639562,0.0008426375,0.0021065936,0.0012639562,0.0,0.0,0.0,0.0002106594,0.0010532968,0.0006319781,0.0002106594,0.0010532968,0.0004213187,0.0,0.0,0.0,0.0002106594,0.0,0.0,0.0002106594,0.0002106594,0.0,0.0,0.0,0.0012639562,0.0002106594,0.0004213187,0.0014746155,0.0010532968,0.004634506,0.0,0.0,0.0006319781,0.0033705498,0.0,0.0002106594,0.0,0.0002106594,0.0004213187,0.0,0.0,0.0008426375,0.0099009901,0.0,0.0008426375,0.0002106594,0.0,0.0010532968,0.0002106594,0.0004213187,0.0004213187,0.0,0.0,0.0008426375,0.0021065936,0.006951759,0.0,0.0,0.0,0.0,0.0,0.0004213187,0.0014746155,0.0012639562,0.0,0.0,0.0065304403,0.0002106594,0.0002106594,0.0014746155,0.0,0.0025279124,0.0,0.0025279124,0.0025279124,0.0006319781,0.0002106594,0.0,0.0,0.0010532968,0.0,0.0004213187,0.0,0.0,0.0002106594,0.0006319781,0.0004213187,0.0,0.0,0.0,0.0016852749,0.0,0.0006319781,0.0002106594,0.0004213187,0.0,0.0,0.0,0.0004213187,0.0010532968,0.0,0.0021065936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006319781,0.0,0.0,0.0,0.0,0.0,0.0002106594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082157152,0.0,0.0,0.0,0.0002106594,0.0,0.0,0.0
dbg_book03,caesar,dbg,3,4104,0.0031676413,0.0048732943,0.0,0.0073099415,0.0124269006,0.0,0.0002436647,0.0,0.0002436647,0.0,0.0002436647,0.0,0.0,0.0,0.0004873294,0.0,0.0004873294,0.0,0.0070662768,0.001705653,0.0007309942,0.0002436647,0.0,0.0,0.0,0.0,0.0,0.0002436647,0.0007309942,0.0,0.0002436647,0.0009746589,0.011208577,0.0026803119,0.0,0.0002436647,0.0,0.0019493177,0.0009746589,0.0,0.0014619883,0.0004873294,0.0009746589,0.0,0.0002436647,0.0,0.0024366472,0.0007309942,0.0036549708,0.0014619883,0.0009746589,0.001705653,0.003411306,0.0,0.0,0.0024366472,0.0009746589,0.0014619883,0.0046296296,0.0,0.0182748538,0.0014619883,0.0004873294,0.0012183236,0.0087719298,0.0,0.0019493177,0.0,0.0,0.0002436647,0.0,0.0,0.0,0.0002436647,0.0004873294,0.0002436647,0.0002436647,0.0,0.0,0.0002436647,0.0,0.0,0.0009746589,0.0,0.0004873294,0.0009746589,0.0,0.0,0.0002436647,0.0,0.0004873294,0.0002436647,0.0,0.0053606238,0.0012183236,0.0002436647,0.0,0.0002436647,0.0007309942,0.0002436647,0.0002436647,0.0024366472,0.0007309942,0.001705653,0.0004873294,0.0,0.0,0.0026803119,0.0,0.0,0.0,0.0,0.0,0.0009746589,0.0,0.0002436647,0.0,0.0,0.0,0.0,0.0,0.0219298246,0.0004873294,0.0,0.0004873294,0.0007309942,0.0002436647,0.0,0.0,0.0,0.0012183236,0.0007309942,0.0,0.0,0.0002436647,0.0,0.0,0.0002436647,0.0007309942,0.001705653,0.0,0.0,0.0004873294,0.0,0.0,0.0,0.0,0.0,0.0009746589,0.0019493177,0.0,0.0060916179,0.0,0.0004873294,0.0,0.0056042885,0.0,0.0,0.0,0.0,0.0,0.0,0.0002436647,0.0,0.0002436647,0.0,0.0021929825,0.0019493177,0.001705653,0.0007309942,0.0,0.0002436647,0.0,0.0002436647,0.0004873294,0.0,0.0002436647,0.0002436647,0.0002436647,0.0,0.0,0.0,0.0,0.0,0.0,0.0002436647,0.0,0.0002436647,0.0004873294,0.0,0.001705653,0.0,0.0007309942,0.0026803119,0.0007309942,0.003411306,0.0002436647,0.0,0.0,0.0026803119,0.0,0.0002436647,0.0,0.0007309942,0.0014619883,0.0,0.0,0.0007309942,0.0048732943,0.0,0.0031676413,0.0,0.0,0.0019493177,0.0,0.0012183236,0.0007309942,0.0002436647,0.0002436647,0.0,0.0026803119,0.0090155945,0.0,0.0,0.0,0.0,0.0,0.0004873294,0.0009746589,0.0019493177,0.0,0.0012183236,0.0060916179,0.0002436647,0.0,0.0014619883,0.0004873294,0.0007309942,0.0,0.001705653,0.0021929825,0.0007309942,0.0002436647,0.0,0.0,0.0007309942,0.0,0.0002436647,0.0004873294,0.0,0.0004873294,0.0007309942,0.001705653,0.0004873294,0.0,0.0,0.0019493177,0.0,0.0002436647,0.0,0.001705653,0.0,0.0,0.0,0.0,0.0009746589,0.0,0.0026803119,0.0,0.0002436647,0.0,0.0007309942,0.0004873294,0.0,0.0002436647,0.0007309942,0.0002436647,0.0,0.0,0.0,0.0,0.0004873294,0.0,0.0002436647,0.0004873294,0.0,0.0,0.0,0.0002436647,0.0,0.0002436647,0.0063352827,0.0,0.0,0.0,0.0002436647,0.0,0.0002436647,0.0
dbg_book04,caesar,dbg,4,5221,0.0049798889,0.0047883547,0.0,0.0034476154,0.0155142693,0.0,0.0,0.0001915342,0.0,0.0,0.0001915342,0.0,0.0,0.0003830684,0.0007661368,0.0,0.0011492051,0.0011492051,0.010151312,0.0022984103,0.0005746026,0.0,0.0001915342,0.0,0.0,0.0001915342,0.0001915342,0.0003830684,0.0007661368,0.0,0.0,0.0005746026,0.010151312,0.003064547,0.0,0.0009576709,0.0001915342,0.0024899445,0.0007661368,0.0,0.0003830684,0.0007661368,0.0003830684,0.0001915342,0.0001915342,0.0,0.0011492051,0.0007661368,0.0022984103,0.0026814786,0.003064547,0.0022984103,0.003064547,0.0,0.0,0.0044052863,0.0011492051,0.0007661368,0.0045968205,0.0,0.0235587052,0.0011492051,0.0007661368,0.0019153419,0.0107259146,0.0,0.0009576709,0.0,0.0,0.0,0.0,0.0009576709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001915342,0.0,0.0,0.0013407393,0.0,0.0,0.0026814786,0.0001915342,0.0,0.0007661368,0.0,0.0005746026,0.0003830684,0.0,0.0051714231,0.0021068761,0.0,0.0005746026,0.0007661368,0.0003830684,0.0001915342,0.0005746026,0.0007661368,0.0011492051,0.0019153419,0.0001915342,0.0,0.0,0.0034476154,0.0003830684,0.0,0.0,0.0,0.0,0.0015322735,0.0,0.0,0.0,0.0,0.0003830684,0.0,0.0001915342,0.0229841027,0.0007661368,0.0001915342,0.0009576709,0.0013407393,0.0,0.0,0.0,0.0,0.0013407393,0.0007661368,0.0001915342,0.0,0.0,0.0,0.0,0.0001915342,0.0011492051,0.0013407393,0.0,0.0001915342,0.0001915342,0.0,0.0,0.0,0.0,0.0,0.0007661368,0.0015322735,0.0001915342,0.007086765,0.0,0.0003830684,0.0,0.0051714231,0.0,0.0,0.0,0.0,0.0,0.0,0.0001915342,0.0,0.0,0.0,0.0013407393,0.0009576709,0.0011492051,0.0005746026,0.0007661368,0.0001915342,0.0,0.0,0.0015322735,0.0005746026,0.0,0.0003830684,0.0001915342,0.0,0.0,0.0,0.0,0.0009576709,0.0,0.0003830684,0.0,0.0005746026,0.0001915342,0.0,0.0005746026,0.0001915342,0.0,0.0021068761,0.0005746026,0.0063206282,0.0,0.0,0.0005746026,0.0032560812,0.0001915342,0.0001915342,0.0,0.0009576709,0.0015322735,0.0,0.0001915342,0.0013407393,0.0068952308,0.0,0.0045968205,0.0007661368,0.0001915342,0.0005746026,0.0,0.0005746026,0.0003830684,0.0,0.0001915342,0.0001915342,0.0022984103,0.0076613676,0.0,0.0,0.0,0.0,0.0,0.0001915342,0.0017238077,0.0024899445,0.0005746026,0.0013407393,0.0093851753,0.0003830684,0.0003830684,0.0019153419,0.0,0.0013407393,0.0,0.0032560812,0.0032560812,0.0001915342,0.0011492051,0.0,0.0,0.0007661368,0.0003830684,0.0001915342,0.0001915342,0.0,0.0003830684,0.0,0.0005746026,0.0005746026,0.0,0.0,0.0026814786,0.0,0.0009576709,0.0001915342,0.0022984103,0.0,0.0,0.0,0.0013407393,0.0005746026,0.0,0.0009576709,0.0,0.0005746026,0.0003830684,0.0,0.0,0.0,0.0001915342,0.0005746026,0.0,0.0001915342,0.0,0.0,0.0003830684,0.0,0.0,0.0003830684,0.0001915342,0.0,0.0,0.0,0.0,0.0,0.0,0.006129094,0.0,0.0,0.0,0.0001915342,0.0,0.0,0.0001915342
dbg_book05,caesar,dbg,5,8477,0.0035389878,0.007195942,0.0001179663,0.0033030553,0.0161613778,0.0003538988,0.0,0.0,0.0,0.0001179663,0.0001179663,0.0,0.0,0.0,0.0009437301,0.0,0.0007077976,0.0014155951,0.0097911997,0.0018874602,0.0005898313,0.0001179663,0.0001179663,0.0,0.0002359325,0.0,0.0001179663,0.0,0.000471865,0.0001179663,0.0001179663,0.0009437301,0.0116786599,0.0044827179,0.0,0.000471865,0.0001179663,0.0016515277,0.0003538988,0.0,0.0007077976,0.000471865,0.0,0.0,0.0007077976,0.0029491565,0.0029491565,0.0001179663,0.0036569541,0.0014155951,0.0010616964,0.0015335614,0.0016515277,0.0001179663,0.0,0.0047186505,0.0003538988,0.0012976289,0.0042467854,0.0,0.0159254453,0.0008257638,0.0007077976,0.0023593252,0.0097911997,0.0001179663,0.0010616964,0.0002359325,0.0,0.0001179663,0.0,0.0003538988,0.0,0.0001179663,0.0001179663,0.0,0.0001179663,0.0001179663,0.0001179663,0.0001179663,0.0003538988,0.0,0.000471865,0.0,0.0003538988,0.0012976289,0.0005898313,0.0001179663,0.0002359325,0.0001179663,0.0003538988,0.000471865,0.0,0.0029491565,0.0017694939,0.0001179663,0.0003538988,0.0003538988,0.0005898313,0.0003538988,0.0015335614,0.0009437301,0.0010616964,0.0017694939,0.000471865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010616964,0.0010616964,0.0,0.0002359325,0.0,0.0003538988,0.0,0.0001179663,0.0003538988,0.0215878259,0.0002359325,0.0,0.0015335614,0.0009437301,0.0009437301,0.0001179663,0.0,0.0,0.0017694939,0.000471865,0.0002359325,0.0,0.0001179663,0.0,0.0,0.0003538988,0.000471865,0.0008257638,0.0,0.0,0.0001179663,0.0,0.0,0.0,0.0,0.0,0.0005898313,0.0020054264,0.0002359325,0.0042467854,0.0,0.0003538988,0.0003538988,0.004954583,0.0003538988,0.0,0.0,0.0001179663,0.0,0.0,0.0001179663,0.0001179663,0.0,0.0,0.0015335614,0.0014155951,0.0007077976,0.0012976289,0.0001179663,0.0002359325,0.0,0.0002359325,0.0005898313,0.0002359325,0.0,0.0003538988,0.0001179663,0.0,0.0003538988,0.0,0.0,0.0,0.0002359325,0.0002359325,0.0,0.000471865,0.0002359325,0.0002359325,0.002241359,0.000471865,0.0003538988,0.0007077976,0.0015335614,0.0033030553,0.0002359325,0.0,0.0005898313,0.002713224,0.0,0.0,0.0001179663,0.0,0.0007077976,0.0,0.0,0.0010616964,0.0047186505,0.0,0.0020054264,0.0,0.0,0.0010616964,0.0001179663,0.0008257638,0.0003538988,0.000471865,0.0001179663,0.0003538988,0.0017694939,0.0070779757,0.0,0.0001179663,0.0,0.0,0.0003538988,0.0002359325,0.0007077976,0.0012976289,0.0001179663,0.0002359325,0.007195942,0.000471865,0.0,0.0025952578,0.0001179663,0.0018874602,0.000471865,0.0025952578,0.0011796626,0.0008257638,0.0002359325,0.0,0.0001179663,0.0010616964,0.0001179663,0.000471865,0.0,0.0001179663,0.0002359325,0.0011796626,0.000471865,0.0005898313,0.0001179663,0.0,0.0012976289,0.0,0.0007077976,0.0001179663,0.0023593252,0.0001179663,0.0,0.0002359325,0.0003538988,0.0016515277,0.0001179663,0.0003538988,0.0,0.0,0.0002359325,0.0,0.000471865,0.0003538988,0.0,0.0005898313,0.0,0.0,0.0,0.0,0.0,0.0002359325,0.0,0.0003538988,0.0005898313,0.0,0.0001179663,0.0,0.0,0.0,0.0001179663,0.0074318745,0.0001179663,0.0,0.0,0.0001179663,0.0,0.0003538988,0.0001179663
dbg_book06,caesar,dbg,6,6293,0.0022246941,0.0060384554,0.0,0.003972668,0.0127125377,0.0,0.0,0.0,0.0003178134,0.0,0.0001589067,0.0,0.0001589067,0.0001589067,0.0011123471,0.0001589067,0.0007945336,0.0003178134,0.0106467504,0.0063562689,0.0003178134,0.0,0.0001589067,0.0,0.0006356269,0.0,0.0003178134,0.0,0.0006356269,0.0001589067,0.0,0.0009534403,0.0101700302,0.0047672017,0.0,0.0001589067,0.0,0.0015890672,0.0011123471,0.0,0.0007945336,0.0003178134,0.0003178134,0.0,0.0012712538,0.0007945336,0.0030192277,0.0004767202,0.0015890672,0.0033370412,0.0015890672,0.0015890672,0.0019068807,0.0,0.0,0.0031781344,0.0003178134,0.0003178134,0.0061973621,0.0,0.0141426982,0.0020657874,0.0001589067,0.0015890672,0.0081042428,0.0006356269,0.0012712538,0.0001589067,0.0006356269,0.0001589067,0.0001589067,0.0006356269,0.0,0.0,0.0,0.0001589067,0.0003178134,0.0,0.0,0.0001589067,0.0003178134,0.0,0.0004767202,0.0,0.0001589067,0.0019068807,0.0004767202,0.0003178134,0.0,0.0,0.0012712538,0.0004767202,0.0003178134,0.0036548546,0.0031781344,0.0001589067,0.0011123471,0.0004767202,0.0001589067,0.0009534403,0.0011123471,0.0007945336,0.0004767202,0.0006356269,0.0001589067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004767202,0.0014301605,0.0,0.0001589067,0.0001589067,0.0,0.0,0.0,0.0003178134,0.0246305419,0.0001589067,0.0003178134,0.0019068807,0.0003178134,0.0001589067,0.0,0.0001589067,0.0,0.0012712538,0.0006356269,0.0,0.0,0.0,0.0,0.0006356269,0.0,0.0007945336,0.0007945336,0.0,0.0003178134,0.0001589067,0.0,0.0,0.0,0.0,0.0001589067,0.0009534403,0.0036548546,0.0003178134,0.0049261084,0.0,0.0004767202,0.0003178134,0.0066740823,0.0,0.0,0.0,0.0004767202,0.0,0.0,0.0003178134,0.0011123471,0.0,0.0,0.0025425075,0.0004767202,0.0006356269,0.0006356269,0.0004767202,0.0004767202,0.0,0.0003178134,0.0011123471,0.0003178134,0.0003178134,0.0001589067,0.0003178134,0.0,0.0003178134,0.0001589067,0.0003178134,0.0003178134,0.0001589067,0.0001589067,0.0,0.0004767202,0.0003178134,0.0003178134,0.0015890672,0.0003178134,0.0001589067,0.0004767202,0.0007945336,0.0049261084,0.0,0.0,0.0003178134,0.0030192277,0.0,0.0,0.0,0.0004767202,0.0009534403,0.0,0.0,0.0006356269,0.0077864294,0.0,0.0017479739,0.0,0.0,0.0011123471,0.0001589067,0.0009534403,0.0001589067,0.0007945336,0.0004767202,0.0007945336,0.0020657874,0.0047672017,0.0,0.0,0.0,0.0,0.0006356269,0.0003178134,0.0011123471,0.0011123471,0.0006356269,0.0,0.0081042428,0.0001589067,0.0001589067,0.002860321,0.0,0.0019068807,0.0,0.0036548546,0.0011123471,0.0006356269,0.0007945336,0.0,0.0,0.0001589067,0.0007945336,0.0004767202,0.0,0.0001589067,0.0,0.0006356269,0.0001589067,0.0006356269,0.0,0.0,0.003972668,0.0,0.0009534403,0.0004767202,0.0003178134,0.0,0.0,0.0,0.0004767202,0.0007945336,0.0,0.0007945336,0.0,0.0,0.0003178134,0.0,0.0,0.0,0.0004767202,0.0004767202,0.0001589067,0.0,0.0,0.0,0.0003178134,0.0003178134,0.0,0.0003178134,0.0,0.0,0.0,0.0,0.0003178134,0.0001589067,0.0001589067,0.0081042428,0.0001589067,0.0,0.0,0.0,0.0,0.0,0.0
dbg_book07,caesar,dbg,7,12722,0.0024367238,0.0088036472,0.0,0.0026725358,0.0133626788,7.8604e-05,0.0,0.0,0.0,0.0,0.000157208,0.0,0.0,0.000235812,0.0017292878,0.000314416,0.000471624,0.0006288319,0.0085678352,0.0022009118,0.00039302,7.8604e-05,7.8604e-05,0.0,7.8604e-05,0.0,0.0,0.000235812,0.0007074359,0.0,0.000314416,0.0009432479,0.0079390033,0.0042446156,7.8604e-05,0.0007860399,0.000550228,0.0010218519,0.000550228,7.8604e-05,0.000471624,0.000157208,0.000235812,7.8604e-05,0.0007074359,0.0009432479,0.0018864958,0.000235812,0.0030655557,0.0018864958,0.0012576639,0.0013362679,0.0023581198,0.0,0.0,0.0026725358,0.000235812,0.0011004559,0.0024367238,0.0,0.0161924226,0.0008646439,0.00039302,0.0007860399,0.0094324792,7.8604e-05,0.0006288319,0.0,7.8604e-05,0.000550228,0.0,0.000314416,0.0,0.0,0.0,0.0,0.0,0.000157208,7.8604e-05,0.0,0.000235812,0.0,0.0006288319,0.0,0.000157208,0.0019650998,0.000314416,7.8604e-05,0.000314416,0.0,0.00039302,7.8604e-05,0.0,0.0034585757,0.0014148719,0.000471624,0.000471624,0.0006288319,0.0006288319,0.000314416,0.0006288319,0.0020437038,0.0009432479,0.0021223078,0.000314416,0.0,0.0,0.0,0.000157208,0.0,0.0,0.0,0.0006288319,0.000550228,7.8604e-05,0.000157208,0.0,0.0,0.000157208,0.000157208,0.000235812,0.0172142745,0.000235812,7.8604e-05,0.0014934759,0.000314416,0.000550228,0.000157208,0.0,0.0,0.0015720799,0.0010218519,0.000471624,0.0,0.000157208,0.000550228,0.000471624,0.000314416,0.00039302,0.0006288319,0.0,0.0,0.000314416,0.0,0.0,0.000235812,0.0,0.0,0.0009432479,0.0044804276,0.0017292878,0.0027511398,7.8604e-05,0.00039302,0.000314416,0.0053450715,7.8604e-05,7.8604e-05,0.0,7.8604e-05,7.8604e-05,7.8604e-05,0.000157208,0.000314416,7.8604e-05,0.0,0.0014934759,0.0011790599,0.0011790599,0.0009432479,0.000314416,0.000235812,7.8604e-05,0.0,0.0009432479,0.0,0.000157208,7.8604e-05,0.000471624,0.0,0.000314416,0.0,0.000157208,0.000235812,7.8604e-05,7.8604e-05,7.8604e-05,7.8604e-05,0.000157208,0.000235812,0.0014934759,0.000235812,0.0010218519,0.0006288319,0.0019650998,0.0046376356,0.0,0.0,0.000157208,0.0027511398,0.0,0.0,7.8604e-05,0.000235812,0.0007860399,0.0,0.0,0.0012576639,0.0055022795,0.0,0.0014148719,0.0,0.0,0.0015720799,7.8604e-05,0.0007860399,0.000471624,0.0,0.00039302,0.000314416,0.0018864958,0.0067599434,0.0,7.8604e-05,0.0,0.0,0.000314416,0.000550228,0.0010218519,0.0018864958,7.8604e-05,0.000235812,0.0070743594,0.000157208,7.8604e-05,0.0014934759,0.000235812,0.0006288319,0.000314416,0.0029083477,0.0016506839,0.0007860399,0.000471624,0.0,0.0,0.000550228,0.000314416,0.000550228,0.000157208,7.8604e-05,7.8604e-05,0.0006288319,0.0007860399,0.000314416,0.0,0.0,0.0012576639,0.0,0.000314416,7.8604e-05,0.0016506839,0.000157208,0.0,0.0,7.8604e-05,0.0007860399,0.0,0.0007860399,7.8604e-05,7.8604e-05,7.8604e-05,0.0,0.000157208,0.0,0.000235812,0.000314416,0.000314416,0.0,0.0,0.0,0.0,0.000314416,0.0,0.0,0.0,0.0,7.8604e-05,0.0,0.0,7.8604e-05,0.00039302,0.0075459833,0.0,0.000157208,0.0,0.0,0.0,0.0,0.0
