"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.19141834447348,1.14620267526431,1.09649653889367,1.12984351342373,0.908437232753043,1.03182910527792,0.785447725178867,1.1025398093445
"Caesar_DBG-01",1.19141834447348,0,1.26975826909469,1.32965820932985,1.25060898551197,1.2289924500325,1.29938092303144,1.20997448656851,1.32554651439617
"Caesar_DBG-02",1.14620267526431,1.26975826909469,0,1.18764610910022,1.1781062586956,1.13785276828409,1.23123511251683,1.09616292941201,1.31240500427263
"Caesar_DBG-03",1.09649653889367,1.32965820932985,1.18764610910022,0,1.17287076364849,1.09945959905325,1.21711226586491,1.04125199748239,1.2710430948809
"Caesar_DBG-04",1.12984351342373,1.25060898551197,1.1781062586956,1.17287076364849,0,1.17765498360349,1.23572862166691,1.1409557906636,1.35803545921494
"Caesar_DBG-05",0.908437232753043,1.2289924500325,1.13785276828409,1.09945959905325,1.17765498360349,0,1.09558099563998,0.863252773818698,1.11410946929423
"Caesar_DBG-06",1.03182910527792,1.29938092303144,1.23123511251683,1.21711226586491,1.23572862166691,1.09558099563998,0,1.01160540579055,1.29498795022092
"Caesar_DBG-07",0.785447725178867,1.20997448656851,1.09616292941201,1.04125199748239,1.1409557906636,0.863252773818698,1.01160540579055,0,1.00280200886746
"Hirtius_DBG-08",1.1025398093445,1.32554651439617,1.31240500427263,1.2710430948809,1.35803545921494,1.11410946929423,1.29498795022092,1.00280200886746,0
