"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.29375721620613,1.17888820108535,1.11295893760383,1.10851139929997,0.957882141533901,0.938866851504262,0.740131706576401,1.13914136748708
"Caesar_DBG-01",1.29375721620613,0,1.29838355812613,1.33721338774223,1.18018096401965,1.38884415764466,1.39696425092258,1.31473642503203,1.44204957873785
"Caesar_DBG-02",1.17888820108535,1.29838355812613,0,1.17617287666779,1.18163332102153,1.12119520536559,1.29180925310252,1.10055487812393,1.35993262584292
"Caesar_DBG-03",1.11295893760383,1.33721338774223,1.17617287666779,0,1.09627227814981,0.934738612508809,1.10329451408687,0.954458587763601,1.27431516789858
"Caesar_DBG-04",1.10851139929997,1.18018096401965,1.18163332102153,1.09627227814981,0,1.02067865718792,1.15673757838651,1.17309218184501,1.39020792863523
"Caesar_DBG-05",0.957882141533901,1.38884415764466,1.12119520536559,0.934738612508809,1.02067865718792,0,1.05323229415062,0.837007004162168,1.20468722431979
"Caesar_DBG-06",0.938866851504262,1.39696425092258,1.29180925310252,1.10329451408687,1.15673757838651,1.05323229415062,0,0.992957542875939,1.2671052794097
"Caesar_DBG-07",0.740131706576401,1.31473642503203,1.10055487812393,0.954458587763601,1.17309218184501,0.837007004162168,0.992957542875939,0,1.08033685280197
"Hirtius_DBG-08",1.13914136748708,1.44204957873785,1.35993262584292,1.27431516789858,1.39020792863523,1.20468722431979,1.2671052794097,1.08033685280197,0
