"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.06713740016093,1.14115592603143,1.11167657378282,1.11942732876605,0.916703675218285,1.02768363244628,0.85604098009821,1.10227477359258
"Caesar_DBG-01",1.06713740016093,0,1.17339120703431,1.28459913893801,1.23007746629494,1.14076221959677,1.19218031455381,1.16467471545157,1.2344161910164
"Caesar_DBG-02",1.14115592603143,1.17339120703431,0,1.17041168027396,1.22661692880889,1.13217347602434,1.23546334202844,1.12422164203717,1.3150226903455
"Caesar_DBG-03",1.11167657378282,1.28459913893801,1.17041168027396,0,1.15420825610456,1.12498531419401,1.22791247295744,1.10224387899959,1.27638873191318
"Caesar_DBG-04",1.11942732876605,1.23007746629494,1.22661692880889,1.15420825610456,0,1.14598922008601,1.17887092500409,1.20664215997095,1.30690336148164
"Caesar_DBG-05",0.916703675218285,1.14076221959677,1.13217347602434,1.12498531419401,1.14598922008601,0,1.00555463780013,0.888486107929811,1.15013992264228
"Caesar_DBG-06",1.02768363244628,1.19218031455381,1.23546334202844,1.22791247295744,1.17887092500409,1.00555463780013,0,1.01772118602476,1.21078537584036
"Caesar_DBG-07",0.85604098009821,1.16467471545157,1.12422164203717,1.10224387899959,1.20664215997095,0.888486107929811,1.01772118602476,0,1.06163196078964
"Hirtius_DBG-08",1.10227477359258,1.2344161910164,1.3150226903455,1.27638873191318,1.30690336148164,1.15013992264228,1.21078537584036,1.06163196078964,0
