"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.25272563432545,1.16129163336939,1.08640101880518,1.11979136654565,0.862692553711568,1.06354760739332,0.803111276245608,1.18121539659472
"Caesar_DBG-01",1.25272563432545,0,1.33648015600104,1.43126124661865,1.27616212911183,1.31913930228963,1.39444677794103,1.29666403297107,1.3805815716336
"Caesar_DBG-02",1.16129163336939,1.33648015600104,0,1.10253168458237,1.11947059840961,1.00055493966544,1.17953182593134,1.03522188257463,1.3539032854335
"Caesar_DBG-03",1.08640101880518,1.43126124661865,1.10253168458237,0,1.16325643612551,1.08445527474999,1.1975579220963,1.03834169840567,1.25132549212242
"Caesar_DBG-04",1.11979136654565,1.27616212911183,1.11947059840961,1.16325643612551,0,1.09965759762389,1.21277865618897,1.11694217344525,1.37946293655435
"Caesar_DBG-05",0.862692553711568,1.31913930228963,1.00055493966544,1.08445527474999,1.09965759762389,0,1.05467500380462,0.813476318236791,1.06984278904292
"Caesar_DBG-06",1.06354760739332,1.39444677794103,1.17953182593134,1.1975579220963,1.21277865618897,1.05467500380462,0,1.00748472601478,1.32165421276067
"Caesar_DBG-07",0.803111276245608,1.29666403297107,1.03522188257463,1.03834169840567,1.11694217344525,0.813476318236791,1.00748472601478,0,1.07457417731532
"Hirtius_DBG-08",1.18121539659472,1.3805815716336,1.3539032854335,1.25132549212242,1.37946293655435,1.06984278904292,1.32165421276067,1.07457417731532,0
