"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.19466270987567,1.14152929680632,1.11200828192064,1.11247946038634,0.917536923612932,1.06674413092409,0.825857897313106,1.11247422570704
"Caesar_DBG-01",1.19466270987567,0,1.25798931661768,1.33651242960285,1.21242145690664,1.24308679453303,1.3085028671405,1.19686963758604,1.33032103040027
"Caesar_DBG-02",1.14152929680632,1.25798931661768,0,1.1547310355401,1.16032251992276,1.15606292645902,1.21106277858366,1.07948009598836,1.29442479911397
"Caesar_DBG-03",1.11200828192064,1.33651242960285,1.1547310355401,0,1.17691160558993,1.13936410535503,1.25127779236544,1.09774373625567,1.26651706097761
"Caesar_DBG-04",1.11247946038634,1.21242145690664,1.16032251992276,1.17691160558993,0,1.15629768618008,1.20222336126251,1.15194260823867,1.29422150122416
"Caesar_DBG-05",0.917536923612932,1.24308679453303,1.15606292645902,1.13936410535503,1.15629768618008,0,1.06069444577436,0.903577914188709,1.10802096899445
"Caesar_DBG-06",1.06674413092409,1.3085028671405,1.21106277858366,1.25127779236544,1.20222336126251,1.06069444577436,0,1.04212883412493,1.25192586377766
"Caesar_DBG-07",0.825857897313106,1.19686963758604,1.07948009598836,1.09774373625567,1.15194260823867,0.903577914188709,1.04212883412493,0,1.03397443451932
"Hirtius_DBG-08",1.11247422570704,1.33032103040027,1.29442479911397,1.26651706097761,1.29422150122416,1.10802096899445,1.25192586377766,1.03397443451932,0
