"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.26023659666336,1.13895253629984,1.12486071681376,1.11423238230412,0.929577257008758,1.04339609440812,0.852332831727937,1.15114072039175
"Caesar_DBG-01",1.26023659666336,0,1.33819666474563,1.355864327586,1.21144926971884,1.27407667167035,1.30186409641719,1.27845647923551,1.41562444725923
"Caesar_DBG-02",1.13895253629984,1.33819666474563,0,1.0974105284936,1.20047617841762,1.10912369616019,1.30155528699009,1.0438736474537,1.26865506078171
"Caesar_DBG-03",1.12486071681376,1.355864327586,1.0974105284936,0,1.08277263283692,1.03354703581915,1.24830964970721,1.0834934079966,1.27184912854986
"Caesar_DBG-04",1.11423238230412,1.21144926971884,1.20047617841762,1.08277263283692,0,1.05373903985614,1.13575046046806,1.16007417004385,1.31724518598985
"Caesar_DBG-05",0.929577257008758,1.27407667167035,1.10912369616019,1.03354703581915,1.05373903985614,0,1.07161192586965,0.882158666203319,1.15280071253373
"Caesar_DBG-06",1.04339609440812,1.30186409641719,1.30155528699009,1.24830964970721,1.13575046046806,1.07161192586965,0,1.00996895496847,1.25692704006202
"Caesar_DBG-07",0.852332831727937,1.27845647923551,1.0438736474537,1.0834934079966,1.16007417004385,0.882158666203319,1.00996895496847,0,1.043201069308
"Hirtius_DBG-08",1.15114072039175,1.41562444725923,1.26865506078171,1.27184912854986,1.31724518598985,1.15280071253373,1.25692704006202,1.043201069308,0
