,Caesar_1,Caesar_2,Caesar_3,Caesar_4,Caesar_5,Caesar_6,Caesar_7,Hirtius_VIII,DBC
Caesar_1,0.0,192.6907,210.855683,199.741708,207.43816,192.2082,184.745874,211.041135,205.634366
Caesar_2,192.6907,0.0,170.389186,162.410118,173.989692,173.53968,162.18484,207.61787,186.008147
Caesar_3,210.855683,170.389186,0.0,170.998003,182.47266,183.54353,170.366676,205.557366,201.503373
Caesar_4,199.741708,162.410118,170.998003,0.0,178.713997,171.239492,189.018763,200.010378,186.823135
Caesar_5,207.43816,173.989692,182.47266,178.713997,0.0,167.467424,156.310706,216.237436,166.260078
Caesar_6,192.2082,173.53968,183.54353,171.239492,167.467424,0.0,162.559127,215.239271,175.373372
Caesar_7,184.745874,162.18484,170.366676,189.018763,156.310706,162.559127,0.0,183.093786,161.974207
Hirtius_VIII,211.041135,207.61787,205.557366,200.010378,216.237436,215.239271,183.093786,0.0,212.890986
DBC,205.634366,186.008147,201.503373,186.823135,166.260078,175.373372,161.974207,212.890986,0.0
