"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.23358900308362,1.15214782373771,1.09708345504224,1.11962348656379,0.890763797030998,1.04851132431144,0.837495388828663,1.14163098083258
"Caesar_DBG-01",1.23358900308362,0,1.29008676092105,1.36069348335858,1.24023740992269,1.26682992560058,1.3282168756534,1.21536165891426,1.363826750979
"Caesar_DBG-02",1.15214782373771,1.29008676092105,0,1.12869548873552,1.16897856695318,1.10293747486474,1.20526243252407,1.07044886856971,1.27393779664012
"Caesar_DBG-03",1.09708345504224,1.36069348335858,1.12869548873552,0,1.14183645154605,1.09156963881131,1.25000879987717,1.0766163244094,1.28817054281862
"Caesar_DBG-04",1.11962348656379,1.24023740992269,1.16897856695318,1.14183645154605,0,1.14670928058444,1.20284089997577,1.13500335633452,1.33775582870749
"Caesar_DBG-05",0.890763797030998,1.26682992560058,1.10293747486474,1.09156963881131,1.14670928058444,0,1.06037050755252,0.879230000263192,1.08883884528546
"Caesar_DBG-06",1.04851132431144,1.3282168756534,1.20526243252407,1.25000879987717,1.20284089997577,1.06037050755252,0,1.04357766028715,1.27611183479337
"Caesar_DBG-07",0.837495388828663,1.21536165891426,1.07044886856971,1.0766163244094,1.13500335633452,0.879230000263192,1.04357766028715,0,1.0442184572611
"Hirtius_DBG-08",1.14163098083258,1.363826750979,1.27393779664012,1.28817054281862,1.33775582870749,1.08883884528546,1.27611183479337,1.0442184572611,0
