,Caesar_1,Caesar_2,Caesar_3,Caesar_4,Caesar_5,Caesar_6,Caesar_7,Hirtius_VIII,DBC
Caesar_1,0.0,136.550017,143.113704,120.105889,130.707647,129.508149,136.728769,158.175794,137.311767
Caesar_2,136.550017,0.0,125.235723,130.358548,131.440391,139.946656,115.973717,141.568299,135.289208
Caesar_3,143.113704,125.235723,0.0,107.9163,105.61929,117.60964,117.508958,123.652334,117.326032
Caesar_4,120.105889,130.358548,107.9163,0.0,107.390365,124.387939,129.421021,145.900014,127.628891
Caesar_5,130.707647,131.440391,105.61929,107.390365,0.0,110.896752,89.401925,127.247628,92.136026
Caesar_6,129.508149,139.946656,117.60964,124.387939,110.896752,0.0,109.274048,134.391629,106.143637
Caesar_7,136.728769,115.973717,117.508958,129.421021,89.401925,109.274048,0.0,116.288713,87.289279
Hirtius_VIII,158.175794,141.568299,123.652334,145.900014,127.247628,134.391629,116.288713,0.0,129.503289
DBC,137.311767,135.289208,117.326032,127.628891,92.136026,106.143637,87.289279,129.503289,0.0
