"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.28729975518945,1.1764810143834,1.18353466183762,1.17203237281812,0.996631273217196,1.11944623605327,0.913368659909185,1.19971903644945
"Caesar_DBG-01",1.28729975518945,0,1.22465261629465,1.22208604619291,1.12598167507789,1.17815564296758,1.30713045366337,1.27227797759687,1.33164345374283
"Caesar_DBG-02",1.1764810143834,1.22465261629465,0,1.02011541959001,1.16342263058956,1.1073374420665,1.27172113478011,1.08172390170031,1.29119601250476
"Caesar_DBG-03",1.18353466183762,1.22208604619291,1.02011541959001,0,1.16975066860108,1.03058820932055,1.22657760618084,1.04966157300862,1.22108436431816
"Caesar_DBG-04",1.17203237281812,1.12598167507789,1.16342263058956,1.16975066860108,0,1.09824202382763,1.14248496561169,1.13693679445685,1.38247466418664
"Caesar_DBG-05",0.996631273217196,1.17815564296758,1.1073374420665,1.03058820932055,1.09824202382763,0,1.03683857587322,0.787569604045113,1.12031187393603
"Caesar_DBG-06",1.11944623605327,1.30713045366337,1.27172113478011,1.22657760618084,1.14248496561169,1.03683857587322,0,1.00198057399455,1.1760380823273
"Caesar_DBG-07",0.913368659909185,1.27227797759687,1.08172390170031,1.04966157300862,1.13693679445685,0.787569604045113,1.00198057399455,0,1.0095307065547
"Hirtius_DBG-08",1.19971903644945,1.33164345374283,1.29119601250476,1.22108436431816,1.38247466418664,1.12031187393603,1.1760380823273,1.0095307065547,0
