"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.06777715120583,1.16253518973336,1.14532664717233,1.11183745600497,0.95283960163404,1.06020258449782,0.87109054300947,1.05867495239428
"Caesar_DBG-01",1.06777715120583,0,1.14595950534465,1.27176951767236,1.20717910997211,1.12316938086728,1.17363020874624,1.1349605342013,1.17379779538162
"Caesar_DBG-02",1.16253518973336,1.14595950534465,0,1.15467230064741,1.22125917320405,1.14591427686054,1.23260646093744,1.12300242003518,1.28435070699955
"Caesar_DBG-03",1.14532664717233,1.27176951767236,1.15467230064741,0,1.14343326273859,1.14093357172935,1.22431405601565,1.11835448768538,1.23418914886044
"Caesar_DBG-04",1.11183745600497,1.20717910997211,1.22125917320405,1.14343326273859,0,1.13494926136182,1.16842277089213,1.17885741591353,1.23933165909018
"Caesar_DBG-05",0.95283960163404,1.12316938086728,1.14591427686054,1.14093357172935,1.13494926136182,0,1.00025287565765,0.906886534495946,1.11420689183085
"Caesar_DBG-06",1.06020258449782,1.17363020874624,1.23260646093744,1.22431405601565,1.16842277089213,1.00025287565765,0,1.0139024713735,1.15861225823064
"Caesar_DBG-07",0.87109054300947,1.1349605342013,1.12300242003518,1.11835448768538,1.17885741591353,0.906886534495946,1.0139024713735,0,1.03025132036234
"Hirtius_DBG-08",1.05867495239428,1.17379779538162,1.28435070699955,1.23418914886044,1.23933165909018,1.11420689183085,1.15861225823064,1.03025132036234,0
