"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.13760491121066,1.06950966621198,1.02948071556713,1.06606174985357,0.800348169318201,0.979384315497036,0.793328721023289,1.25547164609337
"Caesar_DBG-01",1.13760491121066,0,1.26212300164112,1.33678071097793,1.29258920482019,1.13700601204138,1.22771724859477,1.1964073436619,1.47360645142148
"Caesar_DBG-02",1.06950966621198,1.26212300164112,0,1.13575307916476,1.16195618019386,1.06523499301066,1.22931587114314,1.02146046526303,1.42315546359927
"Caesar_DBG-03",1.02948071556713,1.33678071097793,1.13575307916476,0,1.04333834434705,1.07342148111886,1.15126305560692,1.00008979103327,1.37625156812687
"Caesar_DBG-04",1.06606174985357,1.29258920482019,1.16195618019386,1.04333834434705,0,1.11444278426893,1.27253472079637,1.16974424270837,1.49614992817497
"Caesar_DBG-05",0.800348169318201,1.13700601204138,1.06523499301066,1.07342148111886,1.11444278426893,0,0.983011543694445,0.762516510877043,1.28566387809777
"Caesar_DBG-06",0.979384315497036,1.22771724859477,1.22931587114314,1.15126305560692,1.27253472079637,0.983011543694445,0,1.04259819673274,1.47782017325793
"Caesar_DBG-07",0.793328721023289,1.1964073436619,1.02146046526303,1.00008979103327,1.16974424270837,0.762516510877043,1.04259819673274,0,1.20489355808339
"Hirtius_DBG-08",1.25547164609337,1.47360645142148,1.42315546359927,1.37625156812687,1.49614992817497,1.28566387809777,1.47782017325793,1.20489355808339,0
