"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.11340994293274,1.14442733979154,1.12677468281627,1.10163922646138,0.912668222120221,1.00549819208029,0.838432772444392,1.12482503028753
"Caesar_DBG-01",1.11340994293274,0,1.21282421916441,1.33040892861338,1.24125933417857,1.15162351554736,1.22988199006405,1.2098494913991,1.29671834544243
"Caesar_DBG-02",1.14442733979154,1.21282421916441,0,1.15673761847124,1.17292863007506,1.10109442359279,1.23125057154282,1.10091646909378,1.35708161030058
"Caesar_DBG-03",1.12677468281627,1.33040892861338,1.15673761847124,0,1.10312937588887,1.10993824923012,1.2264711003692,1.09680642076051,1.29971629186939
"Caesar_DBG-04",1.10163922646138,1.24125933417857,1.17292863007506,1.10312937588887,0,1.12547304250795,1.16636669780196,1.14271139660863,1.31962155687416
"Caesar_DBG-05",0.912668222120221,1.15162351554736,1.10109442359279,1.10993824923012,1.12547304250795,0,1.0060246791809,0.85126479822732,1.1950586819703
"Caesar_DBG-06",1.00549819208029,1.22988199006405,1.23125057154282,1.2264711003692,1.16636669780196,1.0060246791809,0,1.00910717919439,1.2559494047966
"Caesar_DBG-07",0.838432772444392,1.2098494913991,1.10091646909378,1.09680642076051,1.14271139660863,0.85126479822732,1.00910717919439,0,1.11371868587397
"Hirtius_DBG-08",1.12482503028753,1.29671834544243,1.35708161030058,1.29971629186939,1.31962155687416,1.1950586819703,1.2559494047966,1.11371868587397,0
