"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.04816709439369,1.14128394881226,1.16710229691965,1.11208237091699,0.97115240112659,1.05666061088425,0.866680292172679,1.06211353283754
"Caesar_DBG-01",1.04816709439369,0,1.0935474446221,1.21655829777286,1.15074422881584,1.11025793449306,1.14734235893877,1.11146656695786,1.16751339413692
"Caesar_DBG-02",1.14128394881226,1.0935474446221,0,1.1133042842045,1.18027569664377,1.13912201449033,1.19164438988386,1.11942313050329,1.2293268342645
"Caesar_DBG-03",1.16710229691965,1.21655829777286,1.1133042842045,0,1.09970248274368,1.15056278549495,1.21519878723174,1.15312099590959,1.23274104370734
"Caesar_DBG-04",1.11208237091699,1.15074422881584,1.18027569664377,1.09970248274368,0,1.11489176219596,1.12682840055309,1.17729912743858,1.22659234540499
"Caesar_DBG-05",0.97115240112659,1.11025793449306,1.13912201449033,1.15056278549495,1.11489176219596,0,1.01087430041696,0.922690965575673,1.11203435123864
"Caesar_DBG-06",1.05666061088425,1.14734235893877,1.19164438988386,1.21519878723174,1.12682840055309,1.01087430041696,0,1.02093593647261,1.15550167613077
"Caesar_DBG-07",0.866680292172679,1.11146656695786,1.11942313050329,1.15312099590959,1.17729912743858,0.922690965575673,1.02093593647261,0,1.01992445039342
"Hirtius_DBG-08",1.06211353283754,1.16751339413692,1.2293268342645,1.23274104370734,1.22659234540499,1.11203435123864,1.15550167613077,1.01992445039342,0
