"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.19459370659303,1.13572942408431,1.13851618296106,1.14576836898516,0.925678427286812,1.05619663489908,0.845707438378281,1.11446258615549
"Caesar_DBG-01",1.19459370659303,0,1.26112053756688,1.30891403222668,1.18758178185863,1.21903577834865,1.23551422744024,1.22163131997603,1.36824059276071
"Caesar_DBG-02",1.13572942408431,1.26112053756688,0,1.15961837512665,1.20109420575231,1.13832336603864,1.26232845137777,1.0971215994234,1.27426491152056
"Caesar_DBG-03",1.13851618296106,1.30891403222668,1.15961837512665,0,1.17414918251603,1.06783864506637,1.21787965418658,1.11668463529535,1.27585511097727
"Caesar_DBG-04",1.14576836898516,1.18758178185863,1.20109420575231,1.17414918251603,0,1.10175208962365,1.15916647611315,1.20518395768014,1.30126166007334
"Caesar_DBG-05",0.925678427286812,1.21903577834865,1.13832336603864,1.06783864506637,1.10175208962365,0,1.07322781142541,0.912442567069218,1.15224393371332
"Caesar_DBG-06",1.05619663489908,1.23551422744024,1.26232845137777,1.21787965418658,1.15916647611315,1.07322781142541,0,1.01870971086995,1.20151852971877
"Caesar_DBG-07",0.845707438378281,1.22163131997603,1.0971215994234,1.11668463529535,1.20518395768014,0.912442567069218,1.01870971086995,0,1.07069217314843
"Hirtius_DBG-08",1.11446258615549,1.36824059276071,1.27426491152056,1.27585511097727,1.30126166007334,1.15224393371332,1.20151852971877,1.07069217314843,0
