"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.25664714433698,1.1920189556286,1.11452101527781,1.10829975514012,0.936715324680089,1.00710558056181,0.756999663649203,1.17590918526751
"Caesar_DBG-01",1.25664714433698,0,1.34192969661791,1.32616884697765,1.16961774571313,1.35184175547403,1.31330240259843,1.28287337659291,1.41448353196144
"Caesar_DBG-02",1.1920189556286,1.34192969661791,0,1.18413137172947,1.18689859287692,1.12365262448943,1.28473913408386,1.07240358341984,1.359481208085
"Caesar_DBG-03",1.11452101527781,1.32616884697765,1.18413137172947,0,1.07530875150841,1.00804573091843,1.14526210844015,1.00043093655714,1.27063995858983
"Caesar_DBG-04",1.10829975514012,1.16961774571313,1.18689859287692,1.07530875150841,0,1.01797343318886,1.11534674375904,1.13018221580438,1.37018671587695
"Caesar_DBG-05",0.936715324680089,1.35184175547403,1.12365262448943,1.00804573091843,1.01797343318886,0,1.06330344090628,0.82730382020994,1.24759015293553
"Caesar_DBG-06",1.00710558056181,1.31330240259843,1.28473913408386,1.14526210844015,1.11534674375904,1.06330344090628,0,0.986011546480999,1.28859456880577
"Caesar_DBG-07",0.756999663649203,1.28287337659291,1.07240358341984,1.00043093655714,1.13018221580438,0.82730382020994,0.986011546480999,0,1.07140349081759
"Hirtius_DBG-08",1.17590918526751,1.41448353196144,1.359481208085,1.27063995858983,1.37018671587695,1.24759015293553,1.28859456880577,1.07140349081759,0
