"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.06559051397414,1.15054854921062,1.22420558278666,1.13618348940196,1.00947554140428,1.0996914766924,0.905736032360648,1.11309744221406
"Caesar_DBG-01",1.06559051397414,0,1.07080297455261,1.2160188680686,1.09590425820662,1.08974346844588,1.07207297610447,1.07721799201924,1.17031244525296
"Caesar_DBG-02",1.15054854921062,1.07080297455261,0,1.12126238326758,1.13126580192747,1.11627412673863,1.19293998023408,1.11117285523497,1.20397248163795
"Caesar_DBG-03",1.22420558278666,1.2160188680686,1.12126238326758,0,1.09239390026635,1.12435724454591,1.20661893914767,1.11095369361389,1.22699834712573
"Caesar_DBG-04",1.13618348940196,1.09590425820662,1.13126580192747,1.09239390026635,0,1.07295698711235,1.14712630664998,1.13791260853821,1.19253766643142
"Caesar_DBG-05",1.00947554140428,1.08974346844588,1.11627412673863,1.12435724454591,1.07295698711235,0,1.03894554691629,0.902954716752631,1.09919433696583
"Caesar_DBG-06",1.0996914766924,1.07207297610447,1.19293998023408,1.20661893914767,1.14712630664998,1.03894554691629,0,1.01818897532385,1.15187867289919
"Caesar_DBG-07",0.905736032360648,1.07721799201924,1.11117285523497,1.11095369361389,1.13791260853821,0.902954716752631,1.01818897532385,0,1.0800782004297
"Hirtius_DBG-08",1.11309744221406,1.17031244525296,1.20397248163795,1.22699834712573,1.19253766643142,1.09919433696583,1.15187867289919,1.0800782004297,0
