"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.10958926744007,1.15862763612582,1.22370655273789,1.15166568482562,0.99164651434679,1.09330513160171,0.908253970209843,1.11803362020591
"Caesar_DBG-01",1.10958926744007,0,1.11599929009485,1.25594348274946,1.13084268798712,1.11718744209711,1.11907108118667,1.12364642534516,1.19393592092775
"Caesar_DBG-02",1.15862763612582,1.11599929009485,0,1.16041188447276,1.14808516567569,1.13765857692386,1.2018791364773,1.08330117377483,1.22970450964701
"Caesar_DBG-03",1.22370655273789,1.25594348274946,1.16041188447276,0,1.14346654020999,1.11844134597023,1.21623030838549,1.08540686407156,1.25590520734402
"Caesar_DBG-04",1.15166568482562,1.13084268798712,1.14808516567569,1.14346654020999,0,1.10193271957351,1.17694442123479,1.1400814293282,1.20224610995815
"Caesar_DBG-05",0.99164651434679,1.11718744209711,1.13765857692386,1.11844134597023,1.10193271957351,0,1.03596447152604,0.893369086147627,1.12689547188764
"Caesar_DBG-06",1.09330513160171,1.11907108118667,1.2018791364773,1.21623030838549,1.17694442123479,1.03596447152604,0,1.03146537863808,1.13819755180828
"Caesar_DBG-07",0.908253970209843,1.12364642534516,1.08330117377483,1.08540686407156,1.1400814293282,0.893369086147627,1.03146537863808,0,1.09721499606285
"Hirtius_DBG-08",1.11803362020591,1.19393592092775,1.22970450964701,1.25590520734402,1.20224610995815,1.12689547188764,1.13819755180828,1.09721499606285,0
