"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.2479542331888,1.14882174093871,1.0836440439566,1.15439922940334,0.881639925412259,1.03262704534963,0.800555009695556,1.12680339072515
"Caesar_DBG-01",1.2479542331888,0,1.28639058712995,1.36009482398611,1.25029528101487,1.24114141848315,1.3208246163857,1.24169113321722,1.34902015877396
"Caesar_DBG-02",1.14882174093871,1.28639058712995,0,1.14327695110109,1.14694995173354,1.08841286453092,1.24172909073168,1.07661736500279,1.33076072431277
"Caesar_DBG-03",1.0836440439566,1.36009482398611,1.14327695110109,0,1.13257045319659,1.05537540528104,1.17220375664083,1.01720383091251,1.2891676576361
"Caesar_DBG-04",1.15439922940334,1.25029528101487,1.14694995173354,1.13257045319659,0,1.16697081204962,1.23445507176813,1.15912426542717,1.3869414511297
"Caesar_DBG-05",0.881639925412259,1.24114141848315,1.08841286453092,1.05537540528104,1.16697081204962,0,1.07430241375226,0.825324347068627,1.1029101651792
"Caesar_DBG-06",1.03262704534963,1.3208246163857,1.24172909073168,1.17220375664083,1.23445507176813,1.07430241375226,0,1.01080291464195,1.32322540123805
"Caesar_DBG-07",0.800555009695556,1.24169113321722,1.07661736500279,1.01720383091251,1.15912426542717,0.825324347068627,1.01080291464195,0,1.01915009348275
"Hirtius_DBG-08",1.12680339072515,1.34902015877396,1.33076072431277,1.2891676576361,1.3869414511297,1.1029101651792,1.32322540123805,1.01915009348275,0
