"","Caesar_DBC","Caesar_DBG-01","Caesar_DBG-02","Caesar_DBG-03","Caesar_DBG-04","Caesar_DBG-05","Caesar_DBG-06","Caesar_DBG-07","Hirtius_DBG-08"
"Caesar_DBC",0,1.23924251531962,1.13997998286538,1.10091764606229,1.08492011849329,0.944514062532777,1.05251306070366,0.841344990265275,1.17106266996787
"Caesar_DBG-01",1.23924251531962,0,1.33118715895204,1.32578476698828,1.17478078011385,1.29836941337684,1.33225843505912,1.28563364756143,1.43043026341875
"Caesar_DBG-02",1.13997998286538,1.33118715895204,0,1.08137936831578,1.17280187665814,1.06106082957421,1.31603958967861,1.05974905271601,1.31749670469094
"Caesar_DBG-03",1.10091764606229,1.32578476698828,1.08137936831578,0,1.07368056338032,1.01199654171153,1.27264355459511,1.04847688334719,1.25678704692699
"Caesar_DBG-04",1.08492011849329,1.17478078011385,1.17280187665814,1.07368056338032,0,1.05024077154856,1.17230095894088,1.16341642138299,1.34763677332254
"Caesar_DBG-05",0.944514062532777,1.29836941337684,1.06106082957421,1.01199654171153,1.05024077154856,0,1.10588109582435,0.843277665613352,1.15685588381142
"Caesar_DBG-06",1.05251306070366,1.33225843505912,1.31603958967861,1.27264355459511,1.17230095894088,1.10588109582435,0,1.02590214898747,1.26728850001828
"Caesar_DBG-07",0.841344990265275,1.28563364756143,1.05974905271601,1.04847688334719,1.16341642138299,0.843277665613352,1.02590214898747,0,1.07411612815848
"Hirtius_DBG-08",1.17106266996787,1.43043026341875,1.31749670469094,1.25678704692699,1.34763677332254,1.15685588381142,1.26728850001828,1.07411612815848,0
