"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"omnium" 0.161010651473867 0.134605971610377 0.120279047389945 0.139392249790912 0.0436681222707424 0.0949023861171367 0.182882223847842 0.0909752547307132 0.138931769064526
"posse" 0.11766162992321 0.183553597650514 0.0962232379119557 0.223027599665459 0.109170305676856 0.162689804772234 0.0548646671543526 0.13646288209607 0.16980549552331
"naues" 0.207456031706713 0 0 0.306662949540006 0.327510917030568 0.189804772234273 0 0.027292576419214 0
"partem" 0.108372553876641 0.17131669114048 0.192446475823911 0.083635349874547 0.262008733624454 0.189804772234273 0.0731528895391368 0.13646288209607 0.0771843161469589
"iam" 0.1207579886054 0.0734214390602056 0.120279047389945 0.278784499581823 0.0873362445414847 0.108459869848156 0.091441111923921 0.236535662299854 0.0617474529175671
"suos" 0.114565271241021 0.134605971610377 0.2165022853019 0.195149149707276 0.174672489082969 0.122017353579176 0.109729334308705 0.13646288209607 0.0771843161469589
"oppidum" 0.176492444884815 0.0489476260401371 0.240558094779889 0.083635349874547 0 0.027114967462039 0.0182882223847842 0.20924308588064 0.0926211793763507
"numero" 0.12695070596978 0.0856583455702398 0.0962232379119557 0.195149149707276 0.0436681222707424 0.0813449023861171 0.329188002926116 0.118267831149927 0.108058042605743
"nostri" 0.0897944017835026 0.0734214390602056 0.336781332691845 0.195149149707276 0.218340611353712 0.122017353579176 0.0731528895391368 0.0818777292576419 0.246989811670269
"ibi" 0.139336140698539 0.0856583455702398 0.144334856867934 0.083635349874547 0.131004366812227 0.122017353579176 0.0548646671543526 0.109170305676856 0.185242358752701
"milia" 0.0959871191478821 0.183553597650514 0.336781332691845 0 0.0873362445414847 0.149132321041215 0.0182882223847842 0.20924308588064 0.0617474529175671
"sine" 0.12695070596978 0.146842878120411 0.120279047389945 0.083635349874547 0.0873362445414847 0.122017353579176 0.0182882223847842 0.0636826783114993 0.324174127817228
"bellum" 0.0743126083725539 0.17131669114048 0.144334856867934 0.36241984945637 0.196506550218341 0.0542299349240781 0.091441111923921 0.154657933042213 0.154368632293918
"equites" 0.11766162992321 0.0611845325501713 0.144334856867934 0.0557568999163646 0.196506550218341 0.149132321041215 0.0731528895391368 0.118267831149927 0.216116085211485
"posset" 0.114565271241021 0.159079784630445 0.144334856867934 0.083635349874547 0.0655021834061135 0.149132321041215 0.0731528895391368 0.109170305676856 0.185242358752701
"quorum" 0.0928907604656923 0.0856583455702398 0.168390666345923 0.111513799832729 0.196506550218341 0.0813449023861171 0.128017556693489 0.118267831149927 0.277863538129052
"ubi" 0.11766162992321 0.146842878120411 0.240558094779889 0.306662949540006 0.109170305676856 0.0406724511930586 0.091441111923921 0.0909752547307132 0.0926211793763507
"uti" 0.102179836512262 0.305922662750857 0.192446475823911 0.167270699749094 0.218340611353712 0.135574837310195 0.0548646671543526 0.0363901018922853 0.0154368632293918
"enim" 0.191974238295764 0.0367107195301028 0.0240558094779889 0.083635349874547 0.0873362445414847 0.0135574837310195 0.0548646671543526 0.027292576419214 0.293300401358444
"locis" 0.11766162992321 0.0611845325501713 0.0481116189559779 0.167270699749094 0.218340611353712 0.0542299349240781 0.0731528895391368 0.145560407569141 0.216116085211485
"ita" 0.12695070596978 0.208027410670582 0.0962232379119557 0.083635349874547 0.131004366812227 0.0542299349240781 0.091441111923921 0.0454876273653566 0.200679221982093
"legionibus" 0.130047064651969 0.0489476260401371 0.0962232379119557 0.0557568999163646 0.0218340611353712 0.162689804772234 0.128017556693489 0.109170305676856 0.216116085211485
"omnia" 0.12695070596978 0.0856583455702398 0.2165022853019 0.139392249790912 0.152838427947598 0.0949023861171367 0.091441111923921 0.0818777292576419 0.123494905835134
"possent" 0.0774089670547436 0.146842878120411 0.240558094779889 0.195149149707276 0.131004366812227 0.0813449023861171 0.0731528895391368 0.13646288209607 0.185242358752701
"copias" 0.108372553876641 0.159079784630445 0.0962232379119557 0.111513799832729 0.0436681222707424 0.149132321041215 0.0548646671543526 0.154657933042213 0.108058042605743
"iis" 0.1207579886054 0.183553597650514 0.312725523213856 0.306662949540006 0.393013100436681 0 0 0 0
"quem" 0.0959871191478821 0.0978952520802741 0.0962232379119557 0.083635349874547 0.152838427947598 0.122017353579176 0.0731528895391368 0.145560407569141 0.185242358752701
"consilio" 0.11766162992321 0.110132158590308 0.0481116189559779 0.167270699749094 0.0873362445414847 0.122017353579176 0.128017556693489 0.100072780203785 0.108058042605743
"celeriter" 0.0866980431013128 0.0244738130200685 0.0721674284339668 0.223027599665459 0.152838427947598 0.0949023861171367 0.146305779078274 0.181950509461426 0.138931769064526
"circiter" 0.102179836512262 0.134605971610377 0.144334856867934 0.0557568999163646 0.152838427947598 0.27114967462039 0.0182882223847842 0.0909752547307132 0.0154368632293918
"quid" 0.0619271736437949 0.183553597650514 0.120279047389945 0.223027599665459 0.0655021834061135 0.135574837310195 0.146305779078274 0.181950509461426 0.0308737264587836
"belli" 0.105276195194451 0.0856583455702398 0.0962232379119557 0.167270699749094 0.131004366812227 0.122017353579176 0.109729334308705 0.0636826783114993 0.16980549552331
"itaque" 0.12385434728759 0.0734214390602056 0.0481116189559779 0.195149149707276 0.152838427947598 0.0949023861171367 0.091441111923921 0.0727802037845706 0.123494905835134
"rem" 0.1207579886054 0.17131669114048 0.0721674284339668 0.0278784499581823 0.0436681222707424 0.162689804772234 0.0731528895391368 0.0818777292576419 0.0926211793763507
"sua" 0.11766162992321 0.195790504160548 0.120279047389945 0.083635349874547 0.0436681222707424 0.122017353579176 0.0365764447695684 0.100072780203785 0.0617474529175671
"illi" 0.145528858062918 0.0244738130200685 0.0721674284339668 0.111513799832729 0.174672489082969 0.122017353579176 0.164594001463058 0.0636826783114993 0
"nostris" 0.102179836512262 0.0489476260401371 0.192446475823911 0.223027599665459 0.218340611353712 0.162689804772234 0 0.0818777292576419 0.0771843161469589
"quas" 0.1207579886054 0.0978952520802741 0.0481116189559779 0.167270699749094 0.174672489082969 0.0813449023861171 0.109729334308705 0.0909752547307132 0.0463105896881754
